name,image,html,player_name,nba_id
RJBarrett,https://cdn.nba.com/headshots/nba/latest/260x190/1629628.png,/player/1629628/rj-barrett/,rj barrett,1629628
WillBarton,https://cdn.nba.com/headshots/nba/latest/260x190/203115.png,/player/203115/will-barton/,will barton,203115
CharlesBassey,https://cdn.nba.com/headshots/nba/latest/260x190/1629646.png,/player/1629646/charles-bassey/,charles bassey,1629646
KeitaBates-Diop,https://cdn.nba.com/headshots/nba/latest/260x190/1628966.png,/player/1628966/keita-bates-diop/,keita bates diop,1628966
NicolasBatum,https://cdn.nba.com/headshots/nba/latest/260x190/201587.png,/player/201587/nicolas-batum/,nicolas batum,201587
DariusBazley,https://cdn.nba.com/headshots/nba/latest/260x190/1629647.png,/player/1629647/darius-bazley/,darius bazley,1629647
BradleyBeal,https://cdn.nba.com/headshots/nba/latest/260x190/203078.png,/player/203078/bradley-beal/,bradley beal,203078
MalikBeasley,https://cdn.nba.com/headshots/nba/latest/260x190/1627736.png,/player/1627736/malik-beasley/,malik beasley,1627736
MarJonBeauchamp,https://cdn.nba.com/headshots/nba/latest/260x190/1630699.png,/player/1630699/marjon-beauchamp/,marjon beauchamp,1630699
DavisBertans,https://cdn.nba.com/headshots/nba/latest/260x190/202722.png,/player/202722/davis-bertans/,davis bertans,202722
PatrickBeverley,https://cdn.nba.com/headshots/nba/latest/260x190/201976.png,/player/201976/patrick-beverley/,patrick beverley,201976
SaddiqBey,https://cdn.nba.com/headshots/nba/latest/260x190/1630180.png,/player/1630180/saddiq-bey/,saddiq bey,1630180
KhemBirch,https://cdn.nba.com/headshots/nba/latest/260x190/203920.png,/player/203920/khem-birch/,khem birch,203920
GogaBitadze,https://cdn.nba.com/headshots/nba/latest/260x190/1629048.png,/player/1629048/goga-bitadze/,goga bitadze,1629048
BismackBiyombo,https://cdn.nba.com/headshots/nba/latest/260x190/202687.png,/player/202687/bismack-biyombo/,bismack biyombo,202687
BuddyBoeheim,https://cdn.nba.com/headshots/nba/latest/260x190/1631205.png,/player/1631205/buddy-boeheim/,buddy boeheim,1631205
BogdanBogdanovic,https://cdn.nba.com/headshots/nba/latest/260x190/203992.png,/player/203992/bogdan-bogdanovic/,bogdan bogdanovic,203992
BojanBogdanovic,https://cdn.nba.com/headshots/nba/latest/260x190/202711.png,/player/202711/bojan-bogdanovic/,bojan bogdanovic,202711
BolBol,https://cdn.nba.com/headshots/nba/latest/260x190/1629626.png,/player/1629626/bol-bol/,bol bol,1629626
LeandroBolmaro,https://cdn.nba.com/headshots/nba/latest/260x190/1630195.png,/player/1630195/leandro-bolmaro/,leandro bolmaro,1630195
DevinBooker,https://cdn.nba.com/headshots/nba/latest/260x190/1626164.png,/player/1626164/devin-booker/,devin booker,1626164
BrandonBoston Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1630527.png,/player/1630527/brandon-boston-jr/,brandon boston jr,1630527
ChrisBoucher,https://cdn.nba.com/headshots/nba/latest/260x190/1628449.png,/player/1628449/chris-boucher/,chris boucher,1628449
JamesBouknight,https://cdn.nba.com/headshots/nba/latest/260x190/1630547.png,/player/1630547/james-bouknight/,james bouknight,1630547
TonyBradley,https://cdn.nba.com/headshots/nba/latest/260x190/1628396.png,/player/1628396/tony-bradley/,tony bradley,1628396
MalakiBranham,https://cdn.nba.com/headshots/nba/latest/260x190/1631103.png,/player/1631103/malaki-branham/,malaki branham,1631103
ChristianBraun,https://cdn.nba.com/headshots/nba/latest/260x190/1631128.png,/player/1631128/christian-braun/,christian braun,1631128
MikalBridges,https://cdn.nba.com/headshots/nba/latest/260x190/1628969.png,/player/1628969/mikal-bridges/,mikal bridges,1628969
OshaeBrissett,https://cdn.nba.com/headshots/nba/latest/260x190/1629052.png,/player/1629052/oshae-brissett/,oshae brissett,1629052
MalcolmBrogdon,https://cdn.nba.com/headshots/nba/latest/260x190/1627763.png,/player/1627763/malcolm-brogdon/,malcolm brogdon,1627763
DillonBrooks,https://cdn.nba.com/headshots/nba/latest/260x190/1628415.png,/player/1628415/dillon-brooks/,dillon brooks,1628415
BruceBrown,https://cdn.nba.com/headshots/nba/latest/260x190/1628971.png,/player/1628971/bruce-brown/,bruce brown,1628971
JaylenBrown,https://cdn.nba.com/headshots/nba/latest/260x190/1627759.png,/player/1627759/jaylen-brown/,jaylen brown,1627759
KendallBrown,https://cdn.nba.com/headshots/nba/latest/260x190/1631112.png,/player/1631112/kendall-brown/,kendall brown,1631112
MosesBrown,https://cdn.nba.com/headshots/nba/latest/260x190/1629650.png,/player/1629650/moses-brown/,moses brown,1629650
SterlingBrown,https://cdn.nba.com/headshots/nba/latest/260x190/1628425.png,/player/1628425/sterling-brown/,sterling brown,1628425
GregBrown III,https://cdn.nba.com/headshots/nba/latest/260x190/1630535.png,/player/1630535/greg-brown-iii/,greg brown iii,1630535
TroyBrown Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1628972.png,/player/1628972/troy-brown-jr/,troy brown jr,1628972
JalenBrunson,https://cdn.nba.com/headshots/nba/latest/260x190/1628973.png,/player/1628973/jalen-brunson/,jalen brunson,1628973
ThomasBryant,https://cdn.nba.com/headshots/nba/latest/260x190/1628418.png,/player/1628418/thomas-bryant/,thomas bryant,1628418
ReggieBullock,https://cdn.nba.com/headshots/nba/latest/260x190/203493.png,/player/203493/reggie-bullock/,reggie bullock,203493
AlecBurks,https://cdn.nba.com/headshots/nba/latest/260x190/202692.png,/player/202692/alec-burks/,alec burks,202692
JimmyButler,https://cdn.nba.com/headshots/nba/latest/260x190/202710.png,/player/202710/jimmy-butler/,jimmy butler,202710
JohnButler Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1631219.png,/player/1631219/john-butler-jr/,john butler jr,1631219
JamalCain,https://cdn.nba.com/headshots/nba/latest/260x190/1631288.png,/player/1631288/jamal-cain/,jamal cain,1631288
