,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
163,Gordon Hayward,CHA,32,13.3,21.2,62.8,3.3,6.6,50.0,2.1,4.8,44.4,1.9,4.2,45.8,2.9,8.0,36.9,4.4,13.8,31.6
164,Gorgui Dieng,SAS,33,4.0,6.2,63.7,1.2,2.2,52.6,0.6,1.6,37.9,0.6,1.5,40.7,1.1,2.6,42.6,2.2,5.0,43.2
165,Grant Williams,BOS,24,9.7,15.1,64.4,3.0,6.8,44.5,2.1,4.7,44.7,2.1,4.4,48.2,2.4,6.3,38.3,4.5,12.6,36.0
166,Grayson Allen,MIL,27,9.8,15.8,61.7,2.5,6.1,40.2,3.2,6.6,48.0,1.9,4.6,41.6,2.2,6.2,36.1,4.6,13.0,35.8
167,Greg Brown III,POR,21,2.0,3.3,61.2,0.6,1.5,41.2,0.5,0.6,71.4,0.5,1.1,42.9,0.7,2.3,29.6,0.5,2.3,22.9
168,Hamidou Diallo,DET,24,7.2,11.2,63.8,1.6,3.3,48.8,0.6,1.9,34.7,0.5,1.5,33.3,1.9,5.0,37.4,2.6,7.3,35.7
169,Harrison Barnes,SAC,30,14.1,21.1,66.8,3.6,7.4,48.8,2.5,5.6,45.0,1.7,3.9,45.1,3.2,8.8,36.4,4.8,13.0,36.5
170,Haywood Highsmith,MIA,26,6.4,10.5,61.5,1.9,3.9,47.4,1.5,3.8,40.0,0.8,1.8,44.3,2.3,5.5,42.4,3.7,10.8,34.7
171,Herbert Jones,NOP,24,10.9,16.3,66.9,3.0,6.5,46.7,1.7,4.1,40.3,1.4,3.3,42.4,2.9,8.1,36.0,4.7,13.4,34.9
172,Immanuel Quickley,NYK,23,9.5,16.3,58.3,2.2,5.0,43.4,1.9,4.4,44.0,1.3,3.5,38.2,3.1,9.0,34.4,3.8,12.2,31.6
