,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
0,A.J. Lawson,DAL,22,2.0,2.5,80.0,0.8,1.7,46.7,1.0,1.8,57.1,0.2,0.8,25.0,0.3,0.3,100,0.3,0.7,40.0,0.7,2.2,30.8
1,AJ Green,MIL,23,3.8,5.6,68.0,2.0,4.2,46.2,0.9,2.0,41.9,0.2,0.9,23.1,0.3,0.8,33.3,0.4,1.5,28.0,2.0,5.4,36.4
2,AJ Griffin,ATL,19,8.4,12.9,65.5,2.5,6.3,39.8,1.8,4.3,41.2,1.0,2.2,46.0,0.7,2.0,37.0,1.7,3.9,42.0,3.4,10.5,32.2
3,Aaron Gordon,DEN,27,11.6,16.6,69.7,4.8,11.4,41.9,2.5,6.2,40.5,1.2,3.4,35.2,1.1,2.5,42.5,2.2,5.8,38.2,5.1,15.0,33.9
4,Aaron Holiday,ATL,26,6.7,9.8,68.2,1.6,4.6,35.5,1.0,2.7,36.4,0.9,1.7,51.4,0.6,1.5,38.5,1.3,2.8,45.2,2.4,7.2,32.9
5,Aaron Nesmith,IND,23,8.8,13.9,63.3,3.6,8.2,44.3,2.3,5.4,42.6,1.2,2.9,40.7,1.0,2.3,45.9,2.2,5.1,43.0,4.6,11.9,38.7
6,Aaron Wiggins,OKC,24,7.6,11.6,65.6,2.6,6.4,40.4,1.2,3.1,38.3,0.9,2.3,39.8,0.7,2.1,33.3,1.5,4.1,36.7,3.5,9.5,36.8
7,Admiral Schofield,ORL,25,4.4,6.2,71.9,1.7,3.7,45.3,1.0,2.4,39.3,0.4,1.1,36.0,0.9,1.7,53.8,1.3,2.7,46.9,2.9,7.9,36.6
8,Al Horford,BOS,36,10.4,15.6,67.0,5.3,12.8,41.0,4.0,8.8,46.0,0.6,1.8,34.7,0.7,2.1,34.8,1.3,3.8,34.8,5.9,17.2,34.5
9,Alec Burks,DET,31,8.8,12.7,69.5,3.7,8.3,45.1,1.9,3.9,47.9,1.0,2.4,41.4,0.7,1.9,39.5,1.7,4.1,40.6,3.4,10.9,31.1
10,Aleksej Pokusevski,OKC,21,8.5,13.5,63.0,3.2,7.5,43.1,1.6,3.9,41.0,1.1,2.6,42.7,1.1,2.9,38.3,2.1,5.3,40.5,4.7,11.4,41.4
11,Alex Caruso,CHI,28,8.2,12.1,67.4,2.7,6.6,41.5,2.1,5.1,40.8,0.9,2.2,42.0,0.8,2.3,34.0,1.7,4.3,38.0,4.9,13.9,35.6
