,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
441,Simone Fontecchio,UTA,27,3.7,5.7,65.3,1.9,4.9,39.7,1.1,2.0,55.9,0.4,0.9,42.1,0.4,1.1,39.1,0.7,1.8,40.5,2.4,5.5,43.2
442,Spencer Dinwiddie,BKN,29,11.9,17.6,67.7,5.4,12.0,45.5,3.4,7.8,43.8,1.5,3.4,42.7,1.0,2.6,38.5,2.4,6.0,40.9,5.3,15.1,35.0
443,Stanley Johnson,SAS,26,6.3,9.7,64.4,2.7,5.7,47.6,1.6,3.7,44.5,0.8,1.6,47.6,0.3,1.0,29.6,1.0,2.4,40.6,2.9,8.2,35.4
444,Stanley Umude,DET,23,1.0,1.0,100.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
445,Stephen Curry,GSW,34,9.4,13.7,68.7,8.8,18.1,48.3,3.3,8.1,41.5,1.2,3.2,36.4,1.1,2.8,37.4,2.2,6.0,36.8,6.9,19.1,36.0
446,Sterling Brown,LAL,28,1.5,3.8,40.0,1.3,2.5,50.0,1.0,1.0,100.0,0.3,1.0,33.3,1.0,1.5,66.7,0.8,1.5,50.0,1.3,4.8,26.3
447,Steven Adams,MEM,29,9.7,15.5,62.2,3.7,9.1,40.1,2.3,6.1,37.3,1.1,2.5,43.9,0.7,2.0,36.1,1.7,4.3,40.3,5.5,15.5,35.2
448,Svi Mykhailiuk,CHA,25,1.7,3.5,47.6,0.8,2.0,42.3,0.4,1.5,27.8,0.3,1.1,25.0,0.4,0.8,50.0,0.5,1.3,35.7,1.1,2.5,42.1
449,T.J. McConnell,IND,30,8.0,12.2,65.5,2.5,5.8,42.8,1.7,4.2,39.8,1.0,2.3,43.0,0.7,1.9,38.3,1.7,4.2,40.9,3.4,9.6,35.9
450,T.J. Warren,PHX,29,7.4,11.0,67.0,2.9,6.5,44.8,1.2,3.3,37.0,0.7,1.4,47.1,0.7,1.6,45.0,1.3,2.7,45.9,2.7,9.0,29.8
451,Taj Gibson,WAS,37,3.6,4.8,74.9,1.9,4.1,45.9,0.6,1.9,33.8,0.2,0.8,28.6,0.3,1.0,30.4,0.4,1.5,29.5,1.8,5.0,36.3
452,Talen Horton-Tucker,UTA,22,6.1,9.4,64.3,2.7,6.8,39.6,1.6,3.9,40.4,0.6,1.5,38.6,0.3,1.1,29.2,0.8,2.2,34.3,3.4,9.8,34.9
453,Tari Eason,HOU,21,6.8,9.6,70.7,2.8,6.4,44.1,1.3,3.4,38.3,0.8,1.9,41.3,0.5,1.7,30.1,1.3,3.5,36.1,4.5,12.2,36.6
454,Taurean Prince,MIN,28,8.5,12.6,67.5,2.8,7.4,38.1,1.4,3.9,37.1,1.0,2.4,39.8,0.9,2.3,40.7,1.9,4.7,40.2,3.7,10.2,36.5
455,Terance Mann,LAC,26,8.4,12.4,67.8,4.0,9.7,41.6,2.0,4.5,44.1,0.8,2.2,37.0,0.6,1.8,31.4,1.3,3.8,34.4,4.5,12.2,36.7
