,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
199,Anthony Davis,LAL,29,36,32,14.3,0.8,2.4,30.7,38.1,6.8,0.4,1.2,33.3,7.5,0.4,1.3,28.1
200,Daniel Theis,IND,30,7,6,38.6,0.6,2.4,23.5,29.4,13.6,0.3,0.9,33.7,25.0,0.3,1.6,18.5
201,Jalen Williams,OKC,21,55,53,24.7,0.8,2.4,32.6,48.9,0.4,0.0,0.0,0.0,24.3,0.8,2.4,33.1
202,Kenrich Williams,OKC,28,51,46,37.1,1.1,2.4,44.3,63.1,2.7,0.2,0.2,88.9,34.3,0.9,2.2,40.5
203,Jevon Carter,MIL,27,59,50,36.0,1.0,2.4,41.1,61.0,1.5,0.0,0.1,30.0,34.4,0.9,2.3,41.5
204,Jeremy Sochan,SAS,19,48,43,25.7,0.7,2.4,28.1,39.0,3.6,0.1,0.3,45.5,22.1,0.5,2.0,25.5
205,Zach Collins,SAS,25,49,45,31.6,0.9,2.4,38.8,52.6,8.4,0.3,0.6,42.9,23.2,0.7,1.7,37.6
206,Jordan Nwora,IND,24,42,36,43.0,0.9,2.3,39.8,59.7,0.9,0.0,0.1,0.0,42.1,0.9,2.3,40.6
207,De'Aaron Fox,SAC,25,54,50,12.8,0.8,2.3,36.5,52.8,0.8,0.1,0.1,60.0,11.9,0.8,2.2,34.7
208,Alec Burks,DET,31,47,45,26.2,1.0,2.3,45.0,67.0,0.7,0.0,0.1,33.3,25.5,1.0,2.3,45.1
209,Jaylen Nowell,MIN,23,62,58,24.1,0.7,2.3,31.3,44.8,1.5,0.1,0.1,66.7,22.6,0.6,2.2,28.9
210,MarJon Beauchamp,MIL,22,39,32,44.6,0.7,2.3,31.1,46.7,1.5,0.0,0.1,0.0,43.1,0.7,2.2,32.3
211,AJ Green,MIL,23,27,19,63.3,1.1,2.3,48.4,72.6,0.0,0.0,0.0,-,63.3,1.1,2.3,48.3
212,Jaden Ivey,DET,21,56,51,18.7,0.8,2.3,34.1,51.2,0.4,0.0,0.1,0.0,18.3,0.8,2.3,35.1
213,Kevin Knox II,POR,23,45,40,56.3,0.9,2.3,38.8,58.3,0.0,0.0,0.0,-,56.3,0.9,2.3,38.9
214,Cole Anthony,ORL,22,41,35,24.2,0.7,2.3,31.9,46.8,0.8,0.1,0.1,71.4,23.4,0.7,2.2,30.6
215,Jusuf Nurkic,POR,28,45,41,23.0,0.9,2.3,39.2,57.8,1.1,0.0,0.1,36.4,21.9,0.8,2.2,38.9
216,Haywood Highsmith,MIA,26,44,36,52.6,0.8,2.3,36.0,53.0,2.6,0.1,0.1,45.5,50.0,0.8,2.2,35.6
217,Ochai Agbaji,UTA,22,39,31,59.1,0.9,2.3,39.8,59.7,0.7,0.0,0.0,0.0,58.4,0.9,2.2,40.4
218,Duane Washington Jr.,PHX,22,31,26,27.3,0.7,2.3,31.4,45.7,2.0,0.1,0.2,37.5,25.4,0.7,2.1,31.0
219,Russell Westbrook,LAC,34,53,49,16.3,0.7,2.3,30.8,46.3,0.1,0.0,0.0,0.0,16.1,0.7,2.3,31.1
