,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
0,A.J. Lawson,DAL,22,2.0,2.5,80.0,0.8,1.7,46.7,1.0,1.8,57.1,0.2,0.8,25.0,0.3,0.3,100,0.3,0.7,40.0,0.7,2.2,30.8
1,AJ Green,MIL,23,3.7,5.4,68.5,1.9,4.1,46.8,0.9,2.0,43.2,0.2,0.9,23.1,0.3,0.8,33.3,0.4,1.5,28.0,1.9,5.2,36.9
2,AJ Griffin,ATL,19,8.3,12.7,65.3,2.6,6.4,40.4,1.8,4.2,41.7,1.0,2.2,45.8,0.8,2.0,37.9,1.7,4.0,42.3,3.4,10.5,32.5
3,Aaron Gordon,DEN,27,11.6,16.6,69.7,4.8,11.4,41.9,2.5,6.2,40.5,1.2,3.4,35.2,1.1,2.5,42.5,2.2,5.8,38.2,5.1,15.0,33.9
4,Aaron Holiday,ATL,26,6.5,9.6,68.2,1.6,4.5,35.5,1.0,2.7,36.2,0.9,1.7,51.4,0.6,1.4,38.5,1.2,2.8,45.2,2.3,7.1,33.0
5,Aaron Nesmith,IND,23,8.8,13.9,63.6,3.6,8.1,44.4,2.4,5.6,43.2,1.1,2.8,39.3,1.1,2.3,47.0,2.1,5.0,42.7,4.6,11.8,38.8
6,Aaron Wiggins,OKC,24,7.6,11.5,65.9,2.6,6.3,40.8,1.2,3.0,38.7,0.9,2.2,39.1,0.7,2.0,32.9,1.5,4.0,36.2,3.6,9.6,37.0
7,Admiral Schofield,ORL,25,4.4,6.2,71.9,1.7,3.7,45.3,1.0,2.4,39.3,0.4,1.1,36.0,0.9,1.7,53.8,1.3,2.7,46.9,2.9,7.9,36.6
8,Al Horford,BOS,36,10.5,15.6,67.1,5.3,12.8,41.3,4.0,8.6,45.8,0.7,1.8,35.9,0.7,2.1,34.1,1.3,3.8,34.9,5.9,17.2,34.5
9,Alec Burks,DET,31,8.7,12.6,69.0,3.7,8.3,45.0,1.9,4.0,47.5,0.9,2.4,39.4,0.7,1.9,38.8,1.6,4.1,39.1,3.4,11.0,31.0
10,Aleksej Pokusevski,OKC,21,8.5,13.5,63.0,3.2,7.5,43.1,1.6,3.9,41.0,1.1,2.6,42.7,1.1,2.9,38.3,2.1,5.3,40.5,4.7,11.4,41.4
11,Alex Caruso,CHI,28,8.1,12.1,67.3,2.7,6.6,40.7,2.1,5.1,41.0,0.9,2.3,40.4,0.8,2.2,33.7,1.6,4.4,37.1,4.9,13.8,35.6
12,Alex Len,SAC,29,1.6,2.5,63.6,0.2,0.8,20.0,0.2,1.2,15.4,0.4,0.8,50.0,0.4,0.8,50.0,0.6,1.1,50.0,0.6,2.1,28.0
13,Alize Johnson,SAS,26,2.3,5.5,40.9,0.8,2.8,27.3,0.3,1.3,25.0,1.0,1.0,100,0.3,1.7,20.0,0.7,2.0,33.3,1.8,3.8,46.7
14,Alondes Williams,BKN,23,3.0,5.0,60.0,2.0,2.0,100,0.0,0.0,0.0,0.0,1.0,0.0,-,-,-,0.0,1.0,0.0,1.0,2.0,50.0
15,Alperen Sengun,HOU,20,9.9,14.2,69.6,4.3,9.4,46.2,2.3,5.9,39.9,1.1,2.7,40.9,0.9,2.6,33.6,2.0,5.3,37.2,6.9,17.5,39.5
16,Amir Coffey,LAC,25,5.7,9.1,63.2,2.5,5.9,41.6,1.3,2.6,49.0,0.5,1.8,30.4,0.7,2.0,33.3,1.0,3.1,32.0,3.0,8.2,36.4
17,Andre Drummond,CHI,29,4.5,6.7,66.4,2.0,4.1,47.8,1.0,2.5,38.2,0.5,1.7,29.2,0.4,1.2,31.1,0.8,2.6,30.0,2.5,7.1,34.7
18,Andre Iguodala,GSW,39,2.3,4.7,50.0,5.3,8.3,64.0,1.7,6.0,27.8,0.7,0.7,100,0.0,1.5,0.0,0.7,1.7,40.0,1.0,5.3,18.8
19,Andrew Nembhard,IND,23,9.6,15.9,60.1,4.4,9.5,46.1,2.5,5.9,41.9,1.0,3.0,32.9,0.9,2.3,40.5,1.9,5.2,36.1,5.3,13.4,39.8
20,Andrew Wiggins,GSW,27,9.1,13.1,69.4,7.4,15.9,46.1,3.4,8.1,41.3,1.2,3.2,38.5,0.9,2.5,36.2,2.1,5.7,37.4,6.0,16.9,35.4
21,Anfernee Simons,POR,23,14.8,22.1,66.8,4.6,10.9,42.3,3.0,7.6,40.1,1.4,3.2,42.9,1.0,3.1,32.1,2.3,6.2,37.7,6.4,17.5,36.5
22,Anthony Davis,LAL,29,12.4,18.0,69.0,5.0,12.5,39.8,4.3,9.1,47.2,0.9,2.5,34.5,1.0,2.9,35.4,1.9,5.4,35.0,6.5,19.4,33.5
23,Anthony Edwards,MIN,21,14.0,21.6,65.0,5.1,11.6,44.1,2.5,7.1,35.8,1.1,2.9,36.8,1.4,3.4,39.8,2.4,6.3,38.5,7.2,19.8,36.1
24,Anthony Gill,WAS,30,3.5,5.1,67.3,1.8,4.1,43.8,0.9,2.1,41.9,0.4,1.1,35.5,0.6,1.2,48.1,0.8,1.9,41.4,1.9,5.2,36.0
25,Anthony Lamb,GSW,25,5.2,7.4,70.1,4.5,9.2,48.6,1.8,4.4,42.0,0.9,2.1,41.2,0.7,1.7,39.7,1.4,3.5,40.5,3.9,10.8,36.1
26,Austin Reaves,LAL,24,10.2,15.2,67.0,4.6,10.9,42.3,3.5,7.3,47.9,0.8,2.3,35.2,1.0,2.3,43.0,1.7,4.4,39.0,5.4,16.9,32.0
27,Austin Rivers,MIN,30,8.7,12.9,67.6,3.5,7.4,46.6,1.6,4.0,39.5,0.7,2.4,29.8,0.8,2.2,36.7,1.4,4.3,33.2,4.2,10.7,39.2
28,Ayo Dosunmu,CHI,23,11.4,16.8,68.2,3.2,8.3,38.6,2.2,5.6,39.7,1.1,2.9,38.7,0.8,3.0,28.0,1.9,5.7,33.2,5.6,15.3,36.5
29,Bam Adebayo,MIA,25,10.7,15.7,68.4,5.5,11.7,46.9,2.8,6.8,40.2,1.6,3.9,40.1,1.4,3.5,39.9,3.0,7.5,40.0,6.3,18.3,34.4
30,Ben Simmons,BKN,26,9.8,15.7,62.1,3.6,9.8,37.0,2.4,6.0,39.8,0.8,2.0,39.7,1.0,2.8,35.7,1.7,4.6,37.4,5.1,13.9,36.6
31,Bennedict Mathurin,IND,20,11.3,18.0,62.8,4.0,8.7,45.8,2.1,5.5,39.1,1.1,2.9,37.8,1.1,2.6,41.2,2.2,5.5,39.4,4.9,13.9,35.3
32,Bismack Biyombo,PHX,30,4.6,7.8,58.7,2.2,5.7,38.4,1.3,3.4,37.6,0.7,1.4,51.9,0.3,0.9,32.4,0.9,2.0,44.2,2.5,7.3,34.5
33,Blake Griffin,BOS,33,3.8,5.9,64.9,2.4,5.0,47.2,2.3,4.3,52.8,0.7,1.4,48.3,0.3,1.1,25.0,0.8,2.2,37.7,2.7,7.1,37.9
34,Blake Wesley,SAS,19,6.1,9.6,63.7,2.0,4.1,48.3,1.6,2.9,56.1,0.5,1.4,40.0,0.2,1.1,18.2,0.7,2.2,30.8,2.1,5.7,36.3
35,Boban Marjanovic,HOU,34,1.3,1.6,80.8,0.6,1.2,47.6,0.5,0.9,53.3,0.2,0.6,33.3,0.3,1.0,33.3,0.4,1.3,33.3,0.9,3.1,28.6
36,Bobby Portis,MIL,28,9.2,14.3,64.4,4.6,10.7,42.9,2.8,7.2,38.5,0.7,1.8,36.5,0.6,1.9,34.1,1.3,3.6,35.3,5.2,14.8,35.4
37,Bogdan Bogdanovic,ATL,30,12.3,18.8,65.6,3.7,8.5,43.4,3.2,7.1,44.9,1.4,3.2,43.9,1.2,3.1,36.9,2.6,6.4,40.5,5.3,15.8,33.7
38,Bojan Bogdanovic,DET,33,13.6,19.6,69.3,5.4,11.6,46.5,2.7,6.4,41.4,1.4,3.5,39.7,1.0,2.5,40.0,2.4,6.0,39.8,5.7,16.1,35.7
