,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
0,A.J. Lawson,DAL,22,2.7,3.2,85.7,0.9,1.8,50.0,0.9,1.7,53.3,0.2,0.8,20.0,0.2,0.2,100,0.3,0.8,33.3,0.8,2.5,33.3
1,AJ Green,MIL,23,4.0,5.9,66.9,1.9,4.2,45.0,0.9,2.2,42.0,0.3,1.0,25.0,0.3,0.8,30.8,0.4,1.6,27.6,2.0,5.5,35.7
2,AJ Griffin,ATL,19,8.3,12.7,65.3,2.5,6.3,40.1,1.7,4.2,41.5,1.0,2.3,45.2,0.8,2.1,37.6,1.7,4.1,41.8,3.4,10.4,32.4
3,Aaron Gordon,DEN,27,11.6,16.6,69.7,4.8,11.4,41.9,2.5,6.2,40.5,1.2,3.4,35.2,1.1,2.5,42.5,2.2,5.8,38.2,5.1,15.0,33.9
4,Aaron Holiday,ATL,26,6.4,9.4,68.2,1.6,4.4,35.6,1.0,2.7,36.2,0.8,1.6,51.4,0.5,1.4,38.5,1.2,2.7,45.2,2.4,7.2,33.1
5,Aaron Nesmith,IND,23,8.8,13.9,63.5,3.6,8.1,44.3,2.5,5.8,43.6,1.1,2.8,38.8,1.1,2.3,47.1,2.1,5.0,42.5,4.7,12.0,39.1
6,Aaron Wiggins,OKC,24,7.4,11.3,66.1,2.6,6.3,40.6,1.2,3.0,38.4,0.9,2.2,38.7,0.7,2.0,32.9,1.4,4.0,36.0,3.5,9.5,37.1
7,Admiral Schofield,ORL,25,4.4,6.2,71.9,1.7,3.7,45.3,1.0,2.4,39.3,0.4,1.1,36.0,0.9,1.7,53.8,1.3,2.7,46.9,2.9,7.9,36.6
8,Al Horford,BOS,36,10.4,15.4,67.3,5.3,12.8,41.3,3.9,8.6,46.0,0.6,1.8,35.4,0.8,2.2,35.8,1.4,3.9,35.6,5.9,17.2,34.5
9,Alec Burks,DET,31,8.6,12.5,68.9,3.8,8.2,45.6,1.9,3.9,47.8,0.9,2.4,38.7,0.7,1.9,38.8,1.6,4.0,38.7,3.6,11.2,32.0
