,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
33,Blake Griffin,BOS,33,0.8,1.1,69.2,0.1,0.3,42.9,0.0,0.0,0.0,0.3,0.7,38.5,0.1,0.3,40.0,0.3,0.8,38.9,0.3,0.8,38.9
34,Blake Wesley,SAS,19,0.9,1.5,62.5,0.0,0.5,0.0,0.4,1.0,36.4,0.2,0.4,50.0,0.1,0.3,50.0,0.3,0.7,50.0,0.3,0.5,50.0
35,Boban Marjanovic,HOU,34,0.5,0.7,80.0,0.5,0.9,60.0,0.1,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
36,Bobby Portis,MIL,28,2.3,3.4,67.1,1.4,2.6,52.4,1.1,2.3,46.3,0.2,0.6,31.0,0.1,0.6,15.4,0.3,1.2,23.6,1.0,2.4,39.5
37,Bogdan Bogdanovic,ATL,30,0.9,1.5,56.3,1.0,1.8,52.6,0.9,2.2,41.8,0.2,0.8,20.8,0.4,0.9,41.4,0.5,1.7,32.1,2.2,5.7,38.8
38,Bojan Bogdanovic,DET,33,1.8,2.7,66.2,1.5,3.2,48.0,1.3,2.8,47.3,0.5,0.8,59.1,0.3,1.0,32.1,0.8,1.8,44.3,1.7,4.1,40.2
39,Bol Bol,ORL,23,2.6,3.1,82.4,0.9,1.8,51.6,0.4,1.1,36.2,0.1,0.2,30.0,0.0,0.2,20.0,0.1,0.4,25.0,0.4,1.2,36.1
40,Bones Hyland,LAC,22,1.2,2.1,58.6,0.5,1.7,27.4,0.3,0.8,33.3,0.3,0.5,61.9,0.0,0.2,12.5,0.3,0.7,48.3,1.8,5.0,36.3
41,Bradley Beal,WAS,29,3.3,4.5,73.1,1.4,3.3,42.5,2.1,4.1,50.8,0.3,0.6,42.1,0.1,0.3,25.0,0.3,0.8,37.0,1.3,3.6,36.0
42,Brandon Boston Jr.,LAC,21,1.0,1.6,61.3,0.4,1.7,25.8,0.2,1.0,22.2,0.1,0.1,100,0.0,0.5,0.0,0.1,0.4,16.7,0.5,1.2,45.5
43,Brandon Clarke,MEM,26,2.7,3.5,78.4,1.3,2.4,53.5,0.2,0.4,45.0,0.0,0.0,0.0,0.0,0.1,25.0,0.0,0.1,16.7,0.0,0.0,0.0
44,Brandon Ingram,NOP,25,2.0,3.0,65.1,1.6,3.7,42.9,2.7,6.3,42.9,0.1,0.3,42.9,0.0,0.0,100,0.2,0.4,50.0,1.3,3.5,37.0
45,Braxton Key,DET,25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Brook Lopez,MIL,34,2.3,3.2,71.1,0.8,1.7,49.5,0.5,1.1,45.9,0.2,0.4,40.9,0.3,0.7,40.5,0.4,1.1,40.7,1.4,3.8,36.0
47,Bruce Brown,DEN,26,2.2,3.1,71.0,0.7,1.9,35.0,0.2,0.6,32.3,0.1,0.5,13.3,0.4,0.8,50.0,0.5,1.4,35.5,0.8,2.0,41.8
48,Bruno Fernando,ATL,24,1.3,2.0,64.5,0.2,0.9,25.0,0.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Bryce McGowens,CHA,20,0.7,1.4,50.0,0.2,0.6,30.8,0.0,0.3,0.0,0.1,0.2,33.3,0.2,0.3,75.0,0.2,0.4,57.1,0.3,0.9,27.8
50,Bryn Forbes,MIN,29,0.1,0.2,50.0,0.2,0.7,35.3,0.3,0.6,50.0,0.2,0.4,37.5,0.1,0.3,40.0,0.2,0.6,38.5,0.4,1.3,28.1
51,Buddy Boeheim,DET,23,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0
52,Buddy Hield,IND,30,1.5,2.5,60.6,0.3,1.0,32.1,0.6,1.3,43.8,0.5,1.0,48.2,0.4,0.6,58.3,0.9,1.6,52.2,2.9,7.3,40.6
53,CJ McCollum,NOP,31,1.7,3.0,57.7,1.7,3.7,46.2,1.7,4.2,39.7,0.3,0.5,52.0,0.0,0.4,11.1,0.3,0.9,34.9,2.6,6.5,39.4
54,Cade Cunningham,DET,21,2.3,4.3,54.9,1.8,4.7,37.5,2.3,4.7,48.2,0.0,0.1,0.0,0.1,0.3,33.3,0.1,0.3,25.0,1.3,4.7,28.6
55,Caleb Houstan,ORL,20,0.4,0.8,45.8,0.0,0.1,50.0,0.1,0.2,50.0,0.2,0.4,41.7,0.3,0.6,55.6,0.5,0.9,50.0,0.5,1.6,31.4
56,Caleb Martin,MIA,27,1.6,2.4,64.2,0.3,1.0,31.8,0.6,1.3,45.8,0.1,0.6,17.9,0.4,0.9,38.1,0.5,1.6,30.0,0.9,2.1,42.7
57,Cam Reddish,POR,23,1.8,2.8,64.3,0.3,0.8,33.3,0.2,0.5,33.3,0.4,0.9,44.4,0.0,0.2,0.0,0.4,1.1,38.1,0.5,1.7,26.5
58,Cam Thomas,BKN,21,0.9,1.3,66.0,1.1,2.4,44.2,0.8,2.0,38.4,0.1,0.1,66.7,0.1,0.1,75.0,0.1,0.2,71.4,0.8,2.1,37.8
59,Cameron Johnson,BKN,26,1.5,2.2,68.4,0.2,0.8,28.6,0.4,1.3,31.8,0.3,0.8,41.7,0.6,1.1,50.0,0.8,1.8,46.7,1.8,4.1,44.9
60,Cameron Payne,PHX,28,1.0,1.8,56.0,1.2,3.0,39.3,0.6,1.7,37.5,0.1,0.2,33.3,0.1,0.3,42.9,0.2,0.5,38.5,1.5,4.0,38.4
61,Caris LeVert,CLE,28,1.7,3.0,58.3,0.9,2.5,34.9,0.2,0.9,22.9,0.2,0.6,42.9,0.2,0.5,44.0,0.5,1.0,43.4,1.2,3.4,34.7
62,Carlik Jones,CHI,25,1.0,1.0,100.0,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0
63,Cedi Osman,CLE,27,1.7,2.3,71.3,0.2,0.7,28.9,0.1,0.2,25.0,0.3,0.7,47.1,0.2,0.5,42.3,0.5,1.2,45.0,0.9,3.0,31.9
64,Charles Bassey,SAS,22,1.6,2.0,76.6,0.2,0.5,41.7,0.2,0.2,80.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,40.0
65,Chima Moneke,SAC,27,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Chimezie Metu,SAC,25,1.6,2.1,74.7,0.3,0.6,50.0,0.1,0.1,60.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.7,28.6
67,Chris Boucher,TOR,30,2.1,3.3,63.6,0.4,0.9,41.3,0.2,0.5,47.8,0.2,0.5,33.3,0.3,0.8,35.9,0.4,1.3,34.9,0.4,1.3,31.3
68,Chris Duarte,IND,25,0.8,1.6,51.9,0.2,0.5,31.3,0.5,1.4,35.6,0.3,0.8,32.0,0.1,0.7,21.1,0.4,1.3,27.3,0.7,2.3,31.6
69,Chris Paul,PHX,37,0.3,0.4,56.3,1.1,2.6,43.2,1.7,3.6,46.9,0.1,0.2,50.0,0.0,0.0,0.0,0.1,0.3,44.4,1.5,4.0,37.9
