,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
0,LeBron James,LAL,38,46,46,100,11.3,22.5,50.4,55.2,69.2,9.2,15.6,59.0,30.8,2.1,6.9,31.0
1,Luka Doncic,DAL,23,51,51,100,11.2,22.1,50.5,56.6,64.7,8.5,14.3,59.2,35.3,2.7,7.8,34.7
2,Jayson Tatum,BOS,24,56,56,100,9.9,21.5,46.2,53.9,56.4,6.6,12.1,54.5,43.6,3.3,9.4,35.5
3,Ja Morant,MEM,23,49,49,100,9.6,20.7,46.2,50.2,74.9,7.9,15.5,51.1,25.1,1.6,5.2,31.7
4,Giannis Antetokounmpo,MIL,28,48,48,100,11.1,20.7,53.8,55.7,85.8,10.3,17.7,58.3,14.2,0.8,2.9,26.9
5,Joel Embiid,PHI,28,46,46,100,10.9,20.6,53.0,55.6,84.6,9.8,17.5,56.4,15.4,1.1,3.2,34.4
6,Jaylen Brown,BOS,26,49,49,100,9.9,20.3,48.6,54.9,62.7,7.3,12.7,57.7,37.3,2.5,7.6,33.4
7,LaMelo Ball,CHA,21,34,34,100,8.3,20.3,41.2,50.8,47.8,4.4,9.7,45.7,52.2,3.9,10.6,36.9
8,Damian Lillard,POR,32,46,46,100,9.5,20.2,46.7,57.0,44.9,5.3,9.1,58.3,55.1,4.2,11.2,37.2
9,Shai Gilgeous-Alexander,OKC,24,54,54,100,10.2,20.2,50.7,52.8,87.3,9.4,17.6,53.1,12.7,0.9,2.6,33.9
10,Kyrie Irving,DAL,30,45,45,100,9.9,20.2,49.2,57.3,57.3,6.6,11.6,57.3,42.7,3.3,8.6,38.3
11,Devin Booker,PHX,26,34,34,100,9.5,20.1,47.4,52.9,69.1,7.3,13.9,53.0,30.9,2.2,6.2,35.1
12,Stephen Curry,GSW,34,37,37,100,9.9,20.0,49.5,61.9,42.4,5.0,8.5,58.5,57.6,5.0,11.5,43.0
13,Donovan Mitchell,CLE,26,52,52,100,9.4,19.8,47.6,56.7,52.7,5.8,10.4,56.1,47.3,3.6,9.4,38.2
14,Trae Young,ATL,24,53,53,100,8.4,19.6,42.8,48.4,66.1,6.2,13.0,48.0,33.9,2.2,6.7,32.9
15,Anthony Edwards,MIN,21,62,62,100,9.0,19.5,46.2,53.1,62.5,6.3,12.2,52.1,37.5,2.7,7.3,36.4
16,Terry Rozier,CHA,28,50,50,100,7.9,18.9,41.8,48.8,57.7,5.3,10.9,48.4,42.3,2.6,8.0,32.9
17,Pascal Siakam,TOR,28,50,50,100,9.1,18.9,48.0,51.7,78.2,7.7,14.7,52.0,21.8,1.4,4.1,34.0
18,Kevin Durant,PHX,34,39,39,100,10.4,18.7,55.8,60.6,74.3,8.6,13.9,62.2,25.7,1.8,4.8,37.4
19,Cade Cunningham,DET,21,12,12,100,7.8,18.7,41.5,45.3,72.8,6.3,13.6,46.6,27.2,1.4,5.1,28.0
20,Klay Thompson,GSW,33,47,47,100,7.8,18.5,42.3,54.2,41.2,3.4,7.6,44.5,58.8,4.4,10.9,40.7
21,Julius Randle,NYK,28,61,61,100,8.5,18.4,46.3,53.7,56.2,5.8,10.3,55.6,43.8,2.8,8.1,34.2
22,De'Aaron Fox,SAC,25,54,54,100,9.4,18.3,51.4,55.7,74.3,7.8,13.6,57.8,25.7,1.6,4.7,33.2
23,CJ McCollum,NOP,31,53,53,100,7.9,18.1,43.7,51.6,59.5,5.1,10.8,47.1,40.5,2.9,7.3,38.9
24,DeMar DeRozan,CHI,33,53,53,100,9.1,18.0,50.6,52.0,90.9,8.6,16.4,52.6,9.1,0.5,1.6,31.1
25,Dejounte Murray,ATL,26,55,54,100,8.4,18.0,46.5,52.1,68.8,6.3,12.4,51.1,31.2,2.0,5.6,36.3
26,Kyle Kuzma,WAS,27,54,54,100,8.1,18.0,45.1,52.3,57.3,5.5,10.3,53.8,42.7,2.6,7.7,33.4
27,Zach LaVine,CHI,27,55,55,100,8.3,17.8,46.9,54.6,58.4,5.6,10.4,53.7,41.6,2.8,7.4,37.3
28,Jalen Green,HOU,21,54,54,100,7.3,17.8,40.9,48.1,57.1,4.7,10.2,46.7,42.9,2.5,7.6,33.3
29,Jalen Brunson,NYK,26,57,57,100,8.5,17.7,48.2,53.4,74.1,6.7,13.1,50.8,25.9,1.9,4.6,40.6
30,Brandon Ingram,NOP,25,25,25,100,8.2,17.6,46.8,51.6,77.7,6.6,13.7,48.0,22.3,1.7,3.9,42.9
31,Paul George,LAC,32,45,45,100,8.1,17.6,46.1,54.7,56.0,5.1,9.8,51.9,44.0,3.0,7.7,38.8
32,Keldon Johnson,SAS,23,52,52,100,7.8,17.5,44.7,50.9,62.0,5.6,10.8,51.9,38.0,2.2,6.6,32.7
33,Kelly Oubre Jr.,CHA,27,36,36,100,7.4,17.4,42.3,48.6,58.5,5.1,10.2,50.4,41.5,2.2,7.2,30.7
34,Tyler Herro,MIA,23,46,46,100,7.4,17.1,43.5,52.3,52.5,4.4,9.0,49.3,47.5,3.0,8.1,37.0
35,Anthony Davis,LAL,29,36,35,100,9.6,17.1,56.2,57.2,91.7,9.2,15.6,59.0,8.3,0.4,1.4,25.4
36,Jordan Clarkson,UTA,30,59,59,100,7.6,17.0,44.7,52.4,55.1,5.0,9.4,53.1,44.9,2.6,7.6,34.5
37,Anfernee Simons,POR,23,56,56,100,7.6,16.9,45.0,55.3,45.7,4.1,7.8,53.3,54.3,3.5,9.2,38.0
38,Bradley Beal,WAS,29,37,37,100,8.7,16.8,51.9,57.0,72.3,7.0,12.1,57.4,27.7,1.7,4.7,37.2
39,Lauri Markkanen,UTA,25,55,55,100,8.5,16.6,51.3,60.4,55.1,5.5,9.2,59.9,44.9,3.0,7.5,40.8
40,Kawhi Leonard,LAC,31,35,35,100,8.3,16.4,50.6,56.1,72.3,6.5,11.8,54.9,27.7,1.8,4.5,39.6
41,Fred VanVleet,TOR,28,50,50,100,6.4,16.3,39.4,48.6,46.6,3.4,7.6,45.1,53.4,3.0,8.7,34.4
42,Desmond Bane,MEM,24,36,36,100,7.6,16.2,46.6,55.9,55.7,4.5,9.0,50.2,44.3,3.0,7.2,42.1
43,Darius Garland,CLE,23,53,53,100,7.6,16.2,46.7,54.6,62.2,5.0,10.1,49.8,37.8,2.5,6.1,41.7
44,RJ Barrett,NYK,22,54,54,100,6.9,16.2,42.8,48.3,66.4,5.2,10.7,48.1,33.6,1.8,5.4,32.4
45,Zion Williamson,NOP,22,29,29,100,9.8,16.1,61.0,61.8,95.9,9.6,15.4,62.1,4.1,0.2,0.7,36.4
46,Jordan Poole,GSW,23,59,59,100,7.0,16.1,43.5,51.8,50.4,4.3,8.1,53.6,49.6,2.7,8.0,33.3
