,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
0,Klay Thompson,GSW,33,45,45,48.1,3.5,8.9,39.7,57.5,5.4,0.4,1.0,36.0,42.7,3.2,7.9,40.2
1,Lauri Markkanen,UTA,25,54,54,41.0,2.9,6.7,42.7,63.2,1.2,0.1,0.2,55.0,39.7,2.8,6.5,42.3
2,Nikola Vucevic,CHI,32,57,57,47.2,2.7,6.6,40.3,53.1,14.1,1.0,2.0,49.5,33.0,1.7,4.6,36.3
3,Buddy Hield,IND,30,60,60,47.7,2.8,6.5,42.2,63.2,0.5,0.0,0.1,28.6,47.3,2.7,6.5,42.3
4,Tim Hardaway Jr.,DAL,30,54,54,52.2,2.3,6.4,36.2,53.5,1.8,0.1,0.2,50.0,50.4,2.2,6.2,35.7
5,Max Strus,MIA,26,57,57,58.1,2.3,6.4,35.3,52.8,0.3,0.0,0.0,50.0,57.8,2.2,6.3,35.2
6,Malik Beasley,LAL,26,58,58,51.6,2.3,6.3,36.1,52.9,2.3,0.2,0.3,57.1,49.4,2.1,6.0,35.1
7,Kelly Oubre Jr.,CHA,27,35,35,33.0,1.8,5.9,31.2,46.1,1.3,0.1,0.2,39.1,31.7,1.7,5.6,30.9
8,Michael Porter Jr.,DEN,24,42,42,44.9,2.6,5.8,45.3,65.1,4.0,0.3,0.5,63.5,40.8,2.3,5.3,43.5
9,Keegan Murray,SAC,22,55,55,60.2,2.4,5.8,41.6,62.0,1.3,0.1,0.1,38.5,58.8,2.4,5.6,41.7
10,Devin Vassell,SAS,22,29,29,35.6,2.6,5.7,46.1,67.3,3.7,0.2,0.6,35.6,32.0,2.4,5.1,47.3
11,Cameron Johnson,BKN,26,20,19,53.8,2.4,5.7,41.6,61.9,1.9,0.1,0.2,25.0,51.9,2.3,5.5,42.2
12,LaMelo Ball,CHA,21,33,33,27.4,2.2,5.5,39.9,59.8,0.1,0.0,0.0,0.0,27.2,2.2,5.5,40.0
13,Pat Connaughton,MIL,30,41,41,72.0,1.9,5.5,34.5,51.8,0.0,0.0,0.0,-,72.0,1.9,5.5,34.5
14,Kyle Kuzma,WAS,27,52,51,30.9,1.9,5.5,35.3,52.3,1.3,0.1,0.2,34.8,29.6,1.9,5.3,35.5
15,Bogdan Bogdanovic,ATL,30,34,34,43.5,2.1,5.5,39.2,55.9,4.4,0.3,0.6,57.1,39.0,1.8,4.9,37.1
16,Kristaps Porzingis,WAS,27,49,49,35.5,2.1,5.5,37.8,54.1,4.3,0.3,0.7,44.6,31.3,1.8,4.8,37.1
17,Stephen Curry,GSW,34,37,37,27.2,2.2,5.4,39.8,58.7,0.9,0.1,0.2,57.9,26.3,2.0,5.2,39.1
18,Jerami Grant,POR,28,54,54,36.8,2.1,5.4,39.5,58.2,2.0,0.1,0.3,36.7,34.8,2.0,5.1,39.7
19,Keldon Johnson,SAS,23,51,51,30.7,1.8,5.4,34.2,51.1,0.3,0.0,0.1,33.3,30.4,1.8,5.3,34.1
20,Andrew Wiggins,GSW,27,36,36,37.7,2.3,5.4,43.0,63.5,1.4,0.1,0.2,57.9,36.3,2.2,5.2,42.4
21,Trey Murphy III,NOP,22,56,56,56.6,2.0,5.2,39.2,58.5,1.7,0.0,0.2,25.0,54.8,2.0,5.1,39.8
22,Jaylen Brown,BOS,26,48,48,25.7,1.7,5.2,33.2,48.2,2.2,0.2,0.4,38.6,23.6,1.6,4.8,32.7
23,Karl-Anthony Towns,MIN,27,21,21,36.0,1.8,5.2,33.9,48.2,3.3,0.3,0.5,60.4,32.7,1.5,4.7,31.4
24,Julius Randle,NYK,28,60,60,28.2,1.7,5.1,33.8,49.7,1.5,0.1,0.3,37.0,26.7,1.6,4.9,33.5
25,Anfernee Simons,POR,23,56,56,30.0,2.0,5.1,40.0,59.8,0.2,0.0,0.0,50.0,29.8,2.0,5.0,40.0
26,Gary Trent Jr.,TOR,24,50,49,34.4,2.0,5.1,39.0,58.1,1.1,0.0,0.2,25.0,33.3,1.9,4.9,39.4
27,RJ Barrett,NYK,22,53,52,30.7,1.7,5.0,33.6,49.8,1.3,0.1,0.2,28.6,29.4,1.6,4.8,33.8
28,Dorian Finney-Smith,BKN,29,44,44,65.0,1.8,5.0,35.6,53.2,0.6,0.0,0.1,40.0,64.4,1.8,4.9,35.5
29,P.J. Washington,CHA,24,59,59,38.7,1.7,5.0,34.0,50.5,1.3,0.1,0.2,29.4,37.4,1.6,4.8,34.1
30,Al Horford,BOS,36,45,45,66.4,2.0,5.0,40.8,60.8,3.0,0.0,0.2,18.2,63.4,2.0,4.7,41.9
31,Georges Niang,PHI,29,55,55,71.7,2.1,4.9,42.1,62.7,0.8,0.0,0.1,80.0,70.9,2.0,4.9,41.9
32,Brook Lopez,MIL,34,56,56,45.8,1.9,4.9,38.0,55.3,5.0,0.2,0.5,33.3,40.8,1.7,4.4,38.7
33,Jayson Tatum,BOS,24,55,55,22.6,2.0,4.8,42.5,61.5,2.4,0.2,0.5,43.1,20.2,1.8,4.3,42.5
