,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
122,Desmond Bane,MEM,24,2.7,4.7,58.4,0.9,2.4,36.4,0.5,1.0,45.9,0.3,0.7,48.0,1.2,2.4,52.9,1.8,4.8,37.9
123,Devin Booker,PHX,26,2.7,4.3,63.7,1.1,2.4,46.3,1.6,3.4,48.2,1.6,3.1,51.4,1.1,2.5,44.2,1.3,4.3,30.6
124,Devin Vassell,SAS,22,1.6,2.8,56.1,0.2,0.9,28.0,0.8,2.2,38.1,1.4,2.8,51.9,1.1,2.4,46.4,1.8,4.6,39.6
125,Devon Dotson,WAS,23,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.2,0.2,100
126,Devonte' Graham,SAS,28,0.2,0.4,41.7,0.1,0.2,41.7,0.1,0.2,55.6,0.1,0.2,50.0,0.4,1.1,33.3,1.1,3.0,34.8
127,Dewayne Dedmon,PHI,33,1.1,1.9,59.6,0.5,0.8,58.3,0.1,0.3,44.4,0.0,0.0,100,0.1,0.4,36.4,0.2,0.9,25.9
128,Dillon Brooks,MEM,27,1.7,3.1,53.3,0.8,2.0,38.9,0.8,1.8,47.4,0.3,1.1,31.0,0.7,2.1,32.2,1.2,3.9,31.1
129,Domantas Sabonis,SAC,26,5.4,7.7,69.7,0.7,1.4,48.1,0.2,0.4,44.0,0.3,0.7,47.5,0.2,0.5,43.3,0.3,0.8,34.0
130,Dominick Barlow,SAS,19,1.0,1.7,57.9,0.1,0.1,100,0.1,0.1,100,0.1,0.1,100,0.0,0.3,0.0,0.0,0.1,0.0
131,Donovan Mitchell,CLE,26,3.2,4.9,66.4,0.9,1.8,51.6,0.7,1.3,50.7,0.8,1.8,42.9,0.8,2.3,35.8,2.9,7.4,39.5
132,Donte DiVincenzo,GSW,26,0.8,1.4,56.5,0.1,0.4,23.8,0.1,0.2,40.0,0.1,0.1,50.0,0.7,1.6,41.8,1.4,3.3,42.5
133,Dorian Finney-Smith,BKN,29,1.2,1.9,62.8,0.1,0.3,23.1,0.0,0.1,0.0,0.0,0.0,50.0,1.1,3.0,36.1,0.7,2.3,32.4
