,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,4.8,3.2,0.1,1.39,0.62,0.54,0.0,0.0,0.2,0.0,0.0,2.0
1,AJ Green,MIL,25,19,6,8.9,4.2,10.9,6.6,0.5,2.52,1.75,0.39,0.1,0.0,0.4,0.0,0.0,0.889
2,AJ Griffin,ATL,55,25,30,20.4,9.3,22.1,15.1,0.8,2.05,1.47,0.424,0.5,0.0,0.6,0.852,2.0,0.943
3,Aaron Gordon,DEN,49,35,14,30.3,17.3,42.8,23.7,2.1,2.95,2.12,0.405,1.8,2.3,7.0,0.478,0.757,1.185
4,Aaron Holiday,ATL,50,26,24,14.5,4.2,21.1,8.5,1.4,4.0,3.62,0.2,0.1,0.0,0.4,0.286,0.0,0.571
5,Aaron Nesmith,IND,53,22,31,24.5,9.8,34.5,20.2,0.9,1.61,0.76,0.285,0.4,0.0,1.1,0.857,0.0,0.857
6,Aaron Wiggins,OKC,46,25,21,18.4,6.4,21.1,13.6,0.7,1.91,1.27,0.304,0.6,0.0,1.9,0.357,2.0,0.831
7,Admiral Schofield,ORL,27,11,16,13.0,4.6,20.0,9.3,0.6,1.7,0.79,0.228,0.5,0.0,1.0,0.615,0.0,0.821
8,Al Horford,BOS,45,32,13,30.7,9.3,46.3,25.6,1.2,1.56,0.48,0.2,1.2,1.1,2.8,0.283,0.367,0.547
9,Alec Burks,DET,45,12,33,22.1,13.0,34.6,21.2,1.8,3.08,2.39,0.377,0.3,0.3,0.4,0.533,0.615,0.563
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,44.4,24.2,1.2,1.6,0.75,0.199,1.6,0.0,3.4,0.608,0.0,0.724
11,Alex Caruso,CHI,48,19,29,24.3,5.6,46.2,18.6,2.1,2.73,1.99,0.121,0.8,0.0,1.2,0.2,0.0,0.593
