,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
345,Maxi Kleber,DAL,22,13,9,25.7,6.2,0.5,60.0,3.3,36.9,0.1,25.0,1.9,72.0,0.1,100.0,0.1,25.0,60.6
346,McKinley Wright IV,DAL,20,11,9,10.3,2.9,1.6,60.0,0.5,33.3,0.6,35.7,0.0,0.0,0.0,0.0,0.0,0.0,51.0
347,Mfiondu Kabengele,BOS,2,1,1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,50.0
348,Micah Potter,UTA,3,2,1,4.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,100.0,0.0,0.0,0.7,100.0,100.0
349,Michael Foster Jr.,PHI,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,Michael Porter Jr.,DEN,42,30,12,29.4,16.8,2.0,57.1,7.7,44.8,3.3,37.3,2.3,70.7,0.2,66.7,1.1,57.1,58.9
351,Mikal Bridges,BKN,59,31,28,36.3,17.6,4.9,47.1,5.5,39.0,4.1,43.1,1.6,57.3,0.3,62.5,1.0,60.0,53.5
352,Mike Conley,MIN,45,23,22,29.6,10.7,3.5,45.9,2.7,44.6,3.6,31.7,0.2,66.7,0.0,0.0,0.2,75.0,51.4
353,Mike Muscala,BOS,46,22,24,15.2,6.6,0.2,50.0,4.5,40.2,0.5,62.5,1.2,60.6,0.0,50.0,0.4,50.0,58.3
354,Miles McBride,NYK,47,26,21,12.6,3.4,0.5,29.6,1.8,32.2,0.5,23.8,0.2,71.4,0.0,0.0,0.2,83.3,42.9
355,Mitchell Robinson,NYK,38,21,17,26.9,7.2,0.0,0.0,0.0,0.0,0.0,0.0,6.8,68.0,0.2,33.3,0.1,25.0,67.4
356,Mo Bamba,LAL,41,19,22,17.0,7.2,0.2,33.3,3.3,39.8,0.1,11.1,3.0,67.9,0.2,20.0,0.4,58.3,58.6
357,Monte Morris,WAS,49,24,25,28.3,10.4,3.1,52.4,2.8,41.6,3.8,47.2,0.1,33.3,0.0,0.0,0.1,100.0,56.4
358,Montrezl Harrell,PHI,50,32,18,12.5,5.7,0.3,41.7,0.1,33.3,0.0,16.7,3.2,63.5,0.8,60.0,0.8,59.3,60.5
359,Moritz Wagner,ORL,38,18,20,21.0,11.2,1.7,52.6,3.2,34.1,0.0,0.0,3.8,62.4,0.3,66.7,1.6,57.5,55.9
360,Moses Brown,LAC,34,16,18,8.5,4.6,0.1,100.0,0.0,0.0,0.0,0.0,3.7,63.5,0.2,66.7,0.9,86.7,63.5
361,Moses Moody,GSW,43,21,22,14.2,4.7,1.0,62.5,2.2,34.4,0.4,40.0,0.6,68.8,0.0,0.0,0.2,75.0,54.2
362,Moussa Diabate,LAC,17,8,9,10.0,3.1,0.4,50.0,0.3,66.7,0.0,0.0,1.9,51.7,0.0,0.0,0.1,25.0,53.8
