,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
113,Delon Wright,WAS,30,19,11,22.5,6.5,45.3,18.2,3.7,4.9,4.43,0.143,0.4,0.0,1.0,0.5,0.0,0.414
114,Deni Avdija,WAS,57,27,30,26.3,9.1,43.5,21.4,2.0,2.7,1.94,0.209,0.8,0.1,2.2,0.66,0.4,0.718
115,Dennis Schroder,LAL,47,24,23,29.9,12.1,52.3,22.3,3.9,4.53,3.95,0.232,0.3,0.0,0.3,0.5,0.0,0.429
116,Dennis Smith Jr.,CHA,40,13,27,25.1,8.6,50.2,21.2,3.4,4.12,3.71,0.17,0.3,0.0,1.0,0.846,2.0,0.825
117,Deonte Burton,SAC,2,1,1,3.3,0.0,2.0,1.5,0.0,1.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Dereon Seabron,NOP,5,2,3,2.3,0.8,2.8,1.6,0.2,3.24,2.57,0.286,0.0,0.0,0.2,0.0,0.0,2.0
119,Derrick Jones Jr.,CHI,46,18,28,14.9,5.1,19.7,10.4,0.4,1.28,0.38,0.26,0.7,0.1,2.3,0.818,0.667,0.898
120,Derrick Rose,NYK,27,12,15,12.5,5.6,26.9,10.7,1.9,4.25,3.86,0.21,0.2,0.0,0.4,0.667,0.0,1.0
121,Derrick White,BOS,61,44,17,27.6,12.0,46.3,19.7,3.1,4.04,3.42,0.258,0.5,0.0,1.1,0.606,0.0,0.646
122,Desmond Bane,MEM,37,23,14,31.1,21.3,60.8,34.2,2.8,2.78,2.0,0.35,0.8,0.0,0.9,1.138,0.0,0.971
123,Devin Booker,PHX,34,22,12,33.9,26.5,63.1,36.0,5.2,4.97,4.28,0.42,1.0,1.0,1.6,0.743,0.943,0.852
124,Devin Vassell,SAS,29,8,21,31.3,19.4,54.2,34.3,3.0,3.33,2.4,0.358,0.7,0.0,0.6,1.211,0.0,0.944
125,Devon Dotson,WAS,6,1,5,8.8,0.5,16.3,9.0,1.1,4.11,3.65,0.031,0.5,0.0,0.5,0.0,0.0,0.0
126,Devonte' Graham,SAS,59,27,32,16.6,6.1,31.9,15.5,1.8,3.36,2.71,0.192,0.2,0.0,0.2,0.444,0.0,0.545
127,Dewayne Dedmon,PHI,30,17,13,11.7,5.7,19.7,10.7,0.6,1.67,0.45,0.289,1.6,0.5,2.9,0.917,0.714,0.919
128,Dillon Brooks,MEM,54,33,21,30.4,14.6,42.0,27.7,1.9,2.75,1.87,0.348,0.5,0.2,0.9,0.64,0.667,0.957
129,Domantas Sabonis,SAC,57,33,24,34.5,18.8,82.6,48.1,3.3,2.41,1.39,0.228,8.7,4.5,9.6,0.601,0.473,0.882
130,Dominick Barlow,SAS,11,0,11,10.1,3.4,12.2,8.0,0.3,1.59,0.66,0.276,1.2,0.1,2.7,0.462,0.0,0.667
