,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
425,Sam Hauser,BOS,53,37,16,14.7,0.3,0.1,0.4,27.3,0.1,0.3,23.5,36.4
426,Sandro Mamukelashvili,MIL,22,15,7,8.5,0.0,0.0,0.0,-,0.0,0.0,-,-
427,Santi Aldama,MEM,51,30,21,22.0,0.4,0.2,0.4,36.4,0.1,0.3,46.2,50.0
428,Scottie Barnes,TOR,53,24,29,35.1,1.9,0.8,2.7,31.3,0.2,0.8,23.8,34.7
429,Scotty Pippen Jr.,LAL,6,1,5,5.3,0.5,0.2,0.8,20.0,0.2,0.3,50.0,30.0
430,Serge Ibaka,IND,16,11,5,11.6,0.3,0.1,0.3,40.0,0.0,0.0,-,40.0
431,Seth Curry,BKN,39,26,13,23.2,4.3,1.9,3.8,49.3,0.5,1.2,43.8,56.4
432,Shaedon Sharpe,POR,54,26,28,19.9,1.7,0.7,2.1,35.1,0.2,1.0,19.6,39.9
433,Shai Gilgeous-Alexander,OKC,50,23,27,35.4,9.5,4.4,9.4,46.6,0.7,1.8,36.3,50.1
434,Shake Milton,PHI,49,34,15,22.1,1.3,0.6,1.7,35.7,0.1,0.3,35.3,39.3
435,Simone Fontecchio,UTA,27,15,12,8.7,0.8,0.3,0.8,36.4,0.2,0.6,35.3,50.0
436,Spencer Dinwiddie,BKN,54,29,25,34.2,5.4,2.1,5.2,39.9,1.2,3.4,36.6,51.8
437,Stanley Johnson,SAS,28,5,23,15.1,0.8,0.4,0.8,47.6,0.1,0.2,40.0,52.4
438,Stephen Curry,GSW,38,20,18,34.5,10.9,4.0,8.8,45.9,2.8,5.9,47.3,62.0
439,Sterling Brown,LAL,4,2,2,6.1,0.0,0.0,0.0,-,0.0,0.0,-,-
440,Steven Adams,MEM,42,28,14,27.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
441,Svi Mykhailiuk,CHA,13,8,5,3.1,0.7,0.2,0.4,60.0,0.2,0.4,60.0,90.0
442,T.J. McConnell,IND,53,23,30,19.6,1.8,0.9,1.8,48.9,0.1,0.2,54.5,52.1
443,T.J. Warren,PHX,26,16,10,18.8,2.9,1.4,3.0,46.8,0.0,0.2,16.7,47.5
444,Taj Gibson,WAS,35,16,19,9.8,0.3,0.1,0.2,62.5,0.0,0.0,0.0,62.5
445,Talen Horton-Tucker,UTA,42,21,21,15.6,1.6,0.6,1.8,35.1,0.3,1.0,30.2,43.5
446,Tari Eason,HOU,55,13,42,19.4,0.2,0.1,0.4,18.2,0.0,0.1,12.5,20.5
447,Taurean Prince,MIN,34,20,14,21.3,1.3,0.6,1.3,42.2,0.1,0.5,27.8,47.8
448,Terance Mann,LAC,57,31,26,23.2,1.6,0.7,1.5,45.9,0.3,0.7,40.0,55.3
449,Terence Davis,SAC,41,23,18,13.0,1.3,0.4,1.2,35.3,0.4,1.0,40.0,51.0
450,Terrence Ross,ORL,42,16,26,22.5,2.9,1.3,3.0,44.4,0.3,1.0,32.5,49.6
451,Terry Rozier,CHA,46,12,34,35.8,7.0,2.8,7.9,36.1,1.3,4.1,30.5,44.1
452,Terry Taylor,IND,26,9,17,8.8,0.1,0.0,0.2,20.0,0.0,0.0,0.0,20.0
453,Thaddeus Young,TOR,44,18,26,16.2,0.1,0.1,0.2,37.5,0.0,0.0,-,37.5
454,Thanasis Antetokounmpo,MIL,23,15,8,4.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
455,Theo Maledon,CHA,36,10,26,16.1,1.1,0.5,1.5,32.7,0.1,0.8,17.9,37.3
456,Theo Pinson,DAL,28,14,14,6.0,0.3,0.1,0.1,100,0.1,0.1,100,133.3
457,Thomas Bryant,DEN,41,21,20,21.4,0.1,0.1,0.2,42.9,0.0,0.0,0.0,42.9
458,Tim Hardaway Jr.,DAL,52,30,22,30.4,3.1,1.3,3.4,36.9,0.6,1.7,34.5,45.3
459,Tobias Harris,PHI,49,31,18,33.7,2.0,0.9,2.0,45.5,0.2,0.4,42.9,50.0
460,Tony Bradley,CHI,11,5,6,2.7,0.0,0.0,0.0,-,0.0,0.0,-,-
461,Torrey Craig,PHX,54,29,25,25.6,0.3,0.1,0.6,18.8,0.0,0.2,22.2,21.9
462,Trae Young,ATL,49,26,23,35.6,9.7,4.0,10.7,37.7,1.7,5.3,31.3,45.4
463,Tre Jones,SAS,51,14,37,29.4,2.8,1.4,4.0,35.1,0.0,0.5,7.7,35.6
