,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
399,Paul Reed,PHI,42,9.4,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
400,Payton Pritchard,BOS,41,12.7,2.4,0.8,2.1,38.8,0.8,2.0,38.6,57.6
401,Peyton Watson,DEN,11,3.4,0.3,0.1,0.2,50.0,0.1,0.2,50.0,75.0
402,Precious Achiuwa,TOR,34,23.3,1.6,0.6,2.1,26.0,0.5,1.9,24.6,37.0
403,Quentin Grimes,NYK,47,30.5,4.9,1.7,4.7,35.5,1.6,4.6,35.0,52.7
404,Quenton Jackson,WAS,1,2.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
405,R.J. Hampton,ORL,26,13.9,1.6,0.5,1.5,35.9,0.5,1.5,36.8,53.8
406,RJ Barrett,NYK,51,34.7,5.2,1.7,5.1,34.5,1.7,4.8,34.8,51.2
407,Raul Neto,CLE,38,10.3,0.7,0.2,0.7,32.1,0.2,0.7,32.1,48.2
408,Reggie Bullock,DAL,56,30.3,5.3,1.8,4.7,37.6,1.8,4.6,38.2,56.5
409,Reggie Jackson,LAC,52,25.7,3.8,1.3,3.0,42.6,1.2,2.9,42.1,63.2
410,Richaun Holmes,SAC,33,9.1,0.6,0.3,0.4,69.2,0.1,0.1,75.0,80.8
411,Ricky Rubio,CLE,13,16.3,2.3,0.8,2.2,34.5,0.8,2.2,34.5,51.7
412,Robert Covington,LAC,36,16.2,2.8,0.9,2.8,34.0,0.9,2.8,34.0,51.0
413,Robert Williams III,BOS,22,24.1,0.2,0.1,0.2,50.0,0.0,0.0,0.0,50.0
414,Robin Lopez,CLE,30,7.9,0.3,0.1,0.1,75.0,0.1,0.1,66.7,100
415,Rodney McGruder,DET,21,10.4,1.9,0.6,1.6,38.2,0.6,1.6,38.2,57.4
416,Romeo Langford,SAS,32,20.2,1.3,0.4,1.3,33.3,0.4,1.3,31.7,48.8
417,Ron Harper Jr.,TOR,3,3.1,2.0,0.7,0.7,100,0.7,0.7,100,150.0
418,Royce O'Neale,BKN,53,33.8,5.8,1.9,4.8,40.6,1.9,4.8,40.7,60.8
419,Rudy Gay,UTA,43,14.6,1.6,0.6,2.1,28.1,0.5,1.9,24.4,39.3
420,Rudy Gobert,MIN,48,30.4,0.1,0.1,0.2,33.3,0.0,0.0,0.0,33.3
421,Rui Hachimura,LAL,39,25.1,3.2,1.1,3.1,35.2,0.9,2.8,33.6,50.4
422,Russell Westbrook,UTA,52,28.7,2.1,0.7,2.2,31.0,0.7,2.2,31.3,46.6
423,Ryan Arcidiacono,POR,11,2.4,0.3,0.1,0.3,33.3,0.1,0.3,33.3,50.0
424,Ryan Rollins,GSW,12,5.2,0.8,0.3,0.6,42.9,0.3,0.6,42.9,64.3
425,Saben Lee,PHX,18,15.6,1.0,0.3,0.7,50.0,0.3,0.7,50.0,75.0
