,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,A.J. Lawson,DAL,12,5,7,4.2,2.0,0.0,0.0,1.3,41.7,0.0,0.0,0.2,100.0,0.0,0.0,0.0,0.0,57.5
1,AJ Green,MIL,25,19,6,8.9,4.2,0.1,100.0,2.9,44.4,1.0,38.5,0.3,75.0,0.0,0.0,0.0,0.0,60.7
2,AJ Griffin,ATL,54,25,29,20.5,9.3,2.1,49.5,3.6,38.6,3.1,50.7,0.5,70.0,0.0,100.0,0.4,73.3,57.5
3,Aaron Gordon,DEN,49,35,14,30.3,17.3,2.5,58.3,2.0,35.8,1.8,39.8,8.2,75.0,1.7,50.9,0.9,58.3,63.3
4,Aaron Holiday,ATL,49,26,23,14.6,4.3,1.4,42.9,1.5,43.1,0.9,39.2,0.2,41.7,0.0,0.0,0.0,25.0,50.8
5,Aaron Nesmith,IND,52,21,31,24.4,9.6,2.0,42.7,3.9,35.6,0.9,33.9,0.9,57.6,0.0,0.0,0.3,80.0,50.6
6,Aaron Wiggins,OKC,45,24,21,18.6,6.4,1.4,48.1,2.0,39.5,0.2,33.3,1.6,64.6,0.0,100.0,0.2,40.0,57.5
7,Admiral Schofield,ORL,27,11,16,13.0,4.6,0.9,60.0,2.0,36.0,0.0,0.0,0.9,61.1,0.0,0.0,0.3,66.7,57.6
8,Al Horford,BOS,44,31,13,30.7,9.2,0.7,60.9,6.0,40.3,0.3,46.2,1.5,55.4,0.4,52.9,0.3,42.9,60.2
9,Alec Burks,DET,44,12,32,22.2,13.2,3.2,51.6,3.3,45.0,5.1,42.4,0.2,44.4,0.2,57.1,0.2,42.9,55.9
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,1.1,34.2,3.8,38.5,0.4,27.8,2.5,54.5,0.0,0.0,1.0,65.2,51.9
11,Alex Caruso,CHI,47,19,28,24.2,5.6,0.8,36.7,2.4,41.1,0.2,18.2,0.7,60.0,0.0,0.0,0.2,40.0,54.5
12,Alex Len,SAC,13,8,5,3.5,1.0,0.0,0.0,0.0,0.0,0.2,100.0,0.7,100.0,0.0,0.0,0.5,40.0,50.0
13,Alize Johnson,SAS,4,1,3,7.4,1.8,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,52,10,42,28.4,15.3,3.0,57.4,1.0,35.8,0.4,47.8,5.6,59.4,2.3,56.8,3.1,53.4,57.8
16,Amir Coffey,LAC,40,21,19,14.3,4.0,1.7,42.9,0.7,30.3,0.5,29.4,0.1,50.0,0.0,0.0,0.0,0.0,42.6
17,Andre Drummond,CHI,44,19,25,13.0,6.5,0.2,37.5,0.0,0.0,0.0,100.0,4.6,64.7,0.3,55.6,1.2,58.3,63.2
18,Andre Iguodala,GSW,2,0,2,12.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,100.0
19,Andrew Nembhard,IND,52,22,30,27.2,8.2,2.1,41.0,2.8,34.5,2.2,36.0,0.3,57.1,0.0,0.0,0.2,66.7,50.0
20,Andrew Wiggins,GSW,36,18,18,32.3,17.1,1.6,34.3,7.1,43.9,2.4,33.9,3.3,63.5,1.0,59.3,0.6,56.3,56.0
21,Anfernee Simons,POR,56,27,29,35.5,21.4,5.8,53.3,6.3,40.5,7.2,39.2,0.5,68.2,0.0,0.0,0.3,69.2,55.3
22,Anthony Davis,LAL,34,15,19,33.5,25.9,2.1,50.0,2.3,31.1,2.0,40.5,13.6,70.2,4.0,49.0,3.7,53.7,56.7
23,Anthony Edwards,MIN,60,31,29,36.2,24.7,9.3,53.8,3.4,42.4,7.2,35.1,0.8,74.2,0.4,52.9,0.4,69.2,53.3
24,Anthony Gill,WAS,41,17,24,10.0,3.1,0.4,46.2,0.3,25.0,0.0,14.3,1.6,83.3,0.0,0.0,0.3,75.0,62.5
25,Anthony Lamb,GSW,42,22,20,19.3,7.1,0.9,77.8,3.8,40.3,0.3,35.7,1.0,64.5,0.0,0.0,0.3,62.5,62.9
26,Austin Reaves,LAL,40,18,22,28.0,10.6,3.1,56.5,3.3,38.5,1.7,41.7,0.7,61.1,0.0,0.0,0.3,55.6,58.1
27,Austin Rivers,MIN,45,23,22,21.1,5.4,2.0,58.3,2.5,38.5,0.2,15.0,0.1,50.0,0.0,0.0,0.1,100.0,56.0
28,Ayo Dosunmu,CHI,54,25,29,28.1,9.4,2.9,62.3,2.5,32.6,0.6,38.1,0.8,64.3,0.0,0.0,0.3,85.7,55.9
29,Bam Adebayo,MIA,53,29,24,35.3,21.5,4.4,52.4,2.2,46.1,2.8,43.0,7.5,61.6,1.6,50.7,5.1,59.2,54.5
30,Ben Simmons,BKN,41,23,18,26.5,7.0,1.7,52.5,0.1,40.0,0.2,23.5,3.4,70.8,0.5,50.0,0.8,53.3,56.7
31,Bennedict Mathurin,IND,59,25,34,28.3,17.3,6.2,45.1,2.5,29.8,2.6,33.7,1.9,63.8,0.0,0.0,1.1,70.0,48.1
32,Bismack Biyombo,PHX,45,25,20,14.0,3.8,0.0,0.0,0.1,33.3,0.0,50.0,3.0,60.2,0.3,31.6,0.9,50.0,56.6
33,Blake Griffin,BOS,25,16,9,13.8,4.8,0.2,50.0,2.2,46.2,0.0,0.0,1.7,76.0,0.2,50.0,0.6,70.0,63.4
34,Blake Wesley,SAS,13,2,11,13.3,4.6,1.0,31.6,1.6,43.8,0.9,28.6,0.3,25.0,0.0,0.0,0.2,50.0,45.8
35,Boban Marjanovic,HOU,18,1,17,4.2,3.0,0.0,0.0,0.1,50.0,0.2,33.3,1.7,92.3,1.2,56.3,0.7,100.0,69.0
36,Bobby Portis,MIL,47,30,17,26.8,14.4,1.7,56.9,4.7,40.2,1.7,38.1,4.1,62.4,2.1,52.8,0.9,67.7,55.1
37,Bogdan Bogdanovic,ATL,33,16,17,30.0,14.8,3.5,51.5,6.5,39.9,4.7,41.0,0.3,44.4,0.1,50.0,0.3,45.5,53.4
38,Bojan Bogdanovic,DET,54,15,39,32.0,21.6,6.1,55.5,6.0,46.5,5.3,43.0,0.7,46.9,0.5,36.0,0.8,60.0,57.0
39,Bol Bol,ORL,54,21,33,23.2,10.4,2.5,55.6,1.1,35.0,1.5,36.5,3.1,83.7,0.1,40.0,0.5,84.6,61.6
40,Bones Hyland,LAC,43,29,14,19.4,12.0,3.0,35.7,3.1,37.8,4.1,34.2,0.1,40.0,0.0,0.0,0.1,75.0,50.2
41,Bradley Beal,WAS,35,19,16,32.8,22.7,9.1,58.3,3.8,42.9,6.8,47.6,1.6,65.7,0.2,33.3,1.2,48.6,57.2
