,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,12,5,7,4.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,25,19,6,8.9,10.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,50.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,52,24,28,20.6,22.3,0.5,0.2,0.3,73.3,0.0,0.0,0.0,0.4,85.2,0.2,33.3,0.0,22.2,0.0,3.7,0.0,0.0
3,Aaron Gordon,DEN,49,35,14,30.3,42.8,1.8,0.3,0.5,58.3,0.3,0.4,65.0,0.9,47.8,1.1,57.8,0.2,17.3,0.1,3.3,0.2,10.0
4,Aaron Holiday,ATL,48,25,23,14.9,21.6,0.1,0.0,0.1,25.0,0.0,0.0,0.0,0.0,28.6,0.1,42.9,0.0,33.3,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,50,21,29,24.2,34.0,0.4,0.2,0.2,80.0,0.0,0.0,0.0,0.3,88.9,0.1,38.9,0.0,0.0,0.0,5.6,0.0,0.0
6,Aaron Wiggins,OKC,44,24,20,18.7,21.6,0.6,0.1,0.2,40.0,0.1,0.1,100.0,0.2,38.5,0.3,50.0,0.0,7.7,0.0,7.7,0.0,3.8
7,Admiral Schofield,ORL,27,11,16,13.0,20.0,0.5,0.1,0.2,66.7,0.0,0.0,0.0,0.3,61.5,0.3,53.8,0.1,28.6,0.0,0.0,0.0,0.0
8,Al Horford,BOS,43,30,13,30.8,46.0,1.2,0.1,0.3,42.9,0.0,0.0,0.0,0.3,26.0,0.8,66.0,0.3,33.3,0.0,4.0,0.0,0.0
9,Alec Burks,DET,43,12,31,22.0,34.8,0.3,0.1,0.2,42.9,0.0,0.0,0.0,0.2,57.1,0.2,50.0,0.0,28.6,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,1.6,0.5,0.7,65.2,0.0,0.1,50.0,1.0,60.8,0.7,43.1,0.0,0.0,0.2,9.8,0.0,2.0
11,Alex Caruso,CHI,46,19,27,24.3,46.4,0.9,0.1,0.2,40.0,0.0,0.0,0.0,0.2,20.0,0.6,67.5,0.1,22.2,0.0,2.5,0.0,0.0
12,Alex Len,SAC,13,8,5,3.5,6.5,1.3,0.2,0.4,40.0,0.2,0.2,100.0,0.5,35.3,0.8,58.8,0.1,10.0,0.1,5.9,0.1,5.9
13,Alize Johnson,SAS,4,1,3,7.4,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,51,10,41,28.3,53.7,5.5,1.2,2.3,53.0,0.6,0.9,70.5,3.1,56.6,2.2,39.8,0.5,20.7,0.4,6.8,0.4,7.2
16,Amir Coffey,LAC,39,20,19,14.6,15.8,0.2,0.0,0.0,0.0,0.0,0.1,50.0,0.0,16.7,0.1,66.7,0.0,0.0,0.0,0.0,0.0,16.7
17,Andre Drummond,CHI,42,19,23,13.0,18.6,2.0,0.5,0.8,57.1,0.2,0.5,50.0,1.2,62.2,0.7,34.1,0.1,14.3,0.2,8.5,0.2,12.2
18,Andre Iguodala,GSW,2,0,2,12.3,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,50,22,28,27.4,44.9,0.5,0.1,0.2,66.7,0.0,0.0,0.0,0.2,48.0,0.3,56.0,0.0,14.3,0.0,8.0,0.0,0.0
20,Andrew Wiggins,GSW,34,17,17,32.1,46.2,0.7,0.3,0.5,56.3,0.1,0.1,75.0,0.6,84.0,0.2,24.0,0.0,16.7,0.0,0.0,0.1,8.0
21,Anfernee Simons,POR,54,26,28,35.9,69.7,0.3,0.2,0.2,69.2,0.0,0.0,0.0,0.4,118.8,0.0,12.5,0.0,50.0,0.0,6.3,0.0,0.0
22,Anthony Davis,LAL,32,14,18,33.5,68.0,4.8,1.6,2.7,58.1,0.6,0.7,90.9,3.8,79.4,1.4,29.7,0.3,23.9,0.2,4.5,0.3,6.5
23,Anthony Edwards,MIN,59,30,29,36.2,72.9,0.5,0.2,0.2,69.2,0.0,0.0,100.0,0.4,67.7,0.2,38.7,0.1,25.0,0.1,12.9,0.0,3.2
24,Anthony Gill,WAS,38,15,23,10.4,10.3,0.5,0.2,0.2,75.0,0.0,0.0,0.0,0.3,63.2,0.3,52.6,0.1,20.0,0.0,0.0,0.0,0.0
25,Anthony Lamb,GSW,41,22,19,19.2,32.5,0.6,0.1,0.2,57.1,0.0,0.0,50.0,0.2,37.5,0.3,58.3,0.1,21.4,0.0,8.3,0.0,4.2
