,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
0,A.J. Lawson,DAL,12,5,7,4.2,2.0,4.1,2.8,0.1,1.42,0.63,0.49,0.0,0.0,0.1,0.0,0.0,2.0
1,AJ Green,MIL,24,18,6,9.1,4.4,11.2,6.8,0.5,2.52,1.76,0.396,0.1,0.0,0.4,0.0,0.0,0.889
2,AJ Griffin,ATL,51,23,28,20.7,9.6,22.4,15.3,0.8,2.04,1.45,0.427,0.5,0.0,0.6,0.885,2.0,0.871
3,Aaron Gordon,DEN,48,35,13,30.1,16.9,42.5,23.7,2.1,2.93,2.1,0.398,1.8,2.3,6.9,0.471,0.752,1.175
4,Aaron Holiday,ATL,48,25,23,14.9,4.4,21.6,8.8,1.4,3.97,3.6,0.202,0.1,0.0,0.4,0.286,0.0,0.5
5,Aaron Nesmith,IND,49,21,28,24.2,9.7,34.0,20.1,0.9,1.6,0.75,0.284,0.4,0.0,1.0,0.889,0.0,0.902
6,Aaron Wiggins,OKC,43,23,20,18.7,6.6,21.7,14.0,0.7,1.9,1.25,0.305,0.6,0.0,2.0,0.385,2.0,0.833
7,Admiral Schofield,ORL,27,11,16,13.0,4.6,20.0,9.3,0.6,1.7,0.79,0.228,0.5,0.0,1.0,0.615,0.0,0.821
8,Al Horford,BOS,43,30,13,30.8,9.1,46.0,25.5,1.2,1.55,0.47,0.197,1.2,1.0,2.7,0.26,0.409,0.564
9,Alec Burks,DET,42,11,31,22.2,13.2,35.0,21.4,1.8,3.06,2.36,0.377,0.3,0.3,0.4,0.615,0.615,0.6
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,44.4,24.2,1.2,1.6,0.75,0.199,1.6,0.0,3.4,0.608,0.0,0.724
11,Alex Caruso,CHI,45,19,26,24.2,5.7,46.5,18.7,2.1,2.76,2.03,0.123,0.9,0.0,1.2,0.2,0.0,0.6
12,Alex Len,SAC,13,8,5,3.5,1.0,6.5,3.5,0.2,1.51,0.41,0.155,1.3,0.0,0.8,0.353,0.0,0.818
13,Alize Johnson,SAS,4,1,3,7.4,1.8,11.5,5.5,0.5,2.7,1.98,0.152,0.0,0.3,1.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,9.0,3.0,0.4,2.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,50,10,40,28.3,15.4,53.6,37.1,2.1,2.4,1.24,0.287,5.5,4.2,7.5,0.572,0.548,0.762
16,Amir Coffey,LAC,38,20,18,14.2,3.9,15.6,11.3,0.6,2.49,1.67,0.251,0.2,0.0,0.3,0.167,0.0,0.333
17,Andre Drummond,CHI,41,19,22,13.0,6.6,18.7,12.0,0.4,1.41,0.46,0.35,2.0,0.3,4.9,0.588,0.417,0.95
18,Andre Iguodala,GSW,2,0,2,12.2,1.0,21.0,10.5,0.6,1.81,0.62,0.048,1.0,0.0,1.0,0.0,0.0,1.0
19,Andrew Nembhard,IND,49,22,27,27.4,8.5,45.0,23.3,2.5,3.38,3.05,0.188,0.5,0.0,0.7,0.48,0.0,0.5
20,Andrew Wiggins,GSW,34,17,17,32.1,16.9,46.2,31.6,1.7,2.27,1.48,0.367,0.7,1.6,3.2,0.84,0.473,1.009
21,Anfernee Simons,POR,53,26,27,35.8,21.8,69.5,33.4,5.5,4.74,4.14,0.313,0.3,0.0,0.6,1.188,0.0,0.968
22,Anthony Davis,LAL,31,14,17,33.4,26.7,68.1,37.1,2.3,1.99,0.74,0.392,4.8,5.5,11.4,0.799,0.747,1.249
23,Anthony Edwards,MIN,58,30,28,36.2,24.7,73.1,36.6,4.9,4.02,3.49,0.339,0.5,0.5,1.0,0.677,0.774,0.877
24,Anthony Gill,WAS,38,15,23,10.4,3.2,10.3,6.8,0.3,1.64,0.6,0.309,0.5,0.0,1.2,0.632,0.0,1.304
25,Anthony Lamb,GSW,41,22,19,19.2,7.0,32.5,17.3,1.0,1.79,0.92,0.217,0.6,0.4,1.8,0.375,0.0,0.581
26,Austin Reaves,LAL,37,17,20,28.3,10.5,35.1,19.9,1.6,2.81,2.18,0.299,0.7,0.0,1.1,0.48,0.0,0.643
27,Austin Rivers,MIN,43,22,21,21.1,5.5,25.0,14.2,1.3,3.08,2.45,0.219,0.1,0.0,0.1,1.0,0.0,0.667
28,Ayo Dosunmu,CHI,51,25,26,28.0,9.7,48.3,18.4,2.8,3.43,3.1,0.2,0.3,0.0,0.7,1.077,0.0,1.053
29,Bam Adebayo,MIA,50,27,23,35.2,21.8,64.6,37.7,3.0,2.8,1.55,0.337,7.2,2.7,8.3,0.715,0.615,0.928
30,Ben Simmons,BKN,38,22,16,27.3,7.2,62.6,21.6,3.6,3.45,2.39,0.116,2.2,1.2,4.1,0.365,0.409,0.847
31,Bennedict Mathurin,IND,56,25,31,28.1,17.1,42.3,28.8,1.7,2.48,1.7,0.405,1.2,0.1,1.9,0.985,0.333,1.0
32,Bismack Biyombo,PHX,43,24,19,14.2,3.9,23.0,13.6,0.6,1.58,0.49,0.168,2.6,0.9,4.6,0.351,0.333,0.665
33,Blake Griffin,BOS,23,15,8,13.4,4.3,19.2,11.7,0.5,1.65,0.65,0.224,1.1,0.4,2.0,0.538,0.4,0.848
34,Blake Wesley,SAS,10,2,8,12.3,4.8,25.4,8.9,2.0,4.74,4.23,0.189,0.4,0.0,0.7,0.75,0.0,0.571
35,Boban Marjanovic,HOU,17,1,16,4.2,2.8,5.6,3.8,0.2,2.22,0.92,0.49,0.5,1.2,1.1,1.444,1.1,1.474
