,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,A.J. Lawson,DAL,12,5,7,4.2,2.0,0.0,0.0,1.3,41.7,0.0,0.0,0.2,100.0,0.0,0.0,0.0,0.0,57.5
1,AJ Green,MIL,24,18,6,9.1,4.4,0.1,100.0,3.0,44.4,1.0,38.5,0.3,75.0,0.0,0.0,0.0,0.0,60.7
2,AJ Griffin,ATL,52,24,28,20.6,9.5,2.1,51.1,3.7,39.3,3.2,52.6,0.5,72.2,0.0,100.0,0.4,73.3,58.8
3,Aaron Gordon,DEN,49,35,14,30.3,17.3,2.5,58.3,2.0,35.8,1.8,39.8,8.2,75.0,1.7,50.9,0.9,58.3,63.3
4,Aaron Holiday,ATL,48,25,23,14.9,4.4,1.4,42.9,1.6,43.1,1.0,39.2,0.2,36.4,0.0,0.0,0.0,25.0,50.5
5,Aaron Nesmith,IND,49,21,28,24.2,9.7,2.0,44.7,3.9,35.3,0.9,32.7,0.9,57.6,0.0,0.0,0.3,80.0,50.5
6,Aaron Wiggins,OKC,43,23,20,18.7,6.6,1.4,49.1,2.0,39.2,0.2,33.3,1.6,66.7,0.0,100.0,0.2,40.0,57.9
7,Admiral Schofield,ORL,27,11,16,13.0,4.6,0.9,60.0,2.0,36.0,0.0,0.0,0.9,61.1,0.0,0.0,0.3,66.7,57.6
8,Al Horford,BOS,43,30,13,30.8,9.1,0.7,59.1,6.0,40.2,0.3,41.7,1.5,55.4,0.4,52.9,0.3,42.9,59.7
9,Alec Burks,DET,42,11,31,22.2,13.2,3.3,51.1,3.3,44.7,5.1,42.1,0.2,44.4,0.2,57.1,0.2,42.9,55.3
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,1.1,34.2,3.8,38.5,0.4,27.8,2.5,54.5,0.0,0.0,1.0,65.2,51.9
11,Alex Caruso,CHI,46,19,27,24.3,5.7,0.8,36.7,2.5,41.1,0.2,18.2,0.8,60.0,0.0,0.0,0.2,40.0,54.5
12,Alex Len,SAC,13,8,5,3.5,1.0,0.0,0.0,0.0,0.0,0.2,100.0,0.7,100.0,0.0,0.0,0.5,40.0,50.0
13,Alize Johnson,SAS,4,1,3,7.4,1.8,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,50,10,40,28.3,15.4,3.0,59.4,1.0,35.3,0.4,47.8,5.7,59.0,2.3,57.3,3.2,53.0,58.2
16,Amir Coffey,LAC,38,20,18,14.2,3.9,1.6,39.2,0.8,31.3,0.4,25.0,0.1,50.0,0.0,0.0,0.0,0.0,41.3
17,Andre Drummond,CHI,42,19,23,13.0,6.5,0.2,37.5,0.0,0.0,0.0,100.0,4.5,64.1,0.1,40.0,1.2,57.1,62.8
18,Andre Iguodala,GSW,2,0,2,12.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,100.0
19,Andrew Nembhard,IND,49,22,27,27.4,8.5,2.2,41.4,2.9,35.3,2.2,36.2,0.3,57.1,0.0,0.0,0.2,66.7,50.7
