,PLAYER,TEAM,GP,W,L,MIN,Touches,Paint Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.2,0.2,0.2,100.0,0.0,0.0,0.0,0.3,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,26,20,6,9.4,11.7,0.3,0.1,0.2,75.0,0.1,0.1,100.0,0.3,88.9,0.1,33.3,0.0,11.1,0.0,11.1,0.0,11.1
2,AJ Griffin,ATL,55,25,30,20.4,22.1,0.6,0.3,0.4,72.7,0.0,0.0,50.0,0.6,94.3,0.2,31.4,0.1,8.6,0.0,2.9,0.0,2.9
3,Aaron Gordon,DEN,49,35,14,30.3,42.8,7.0,3.6,4.8,75.0,0.9,1.6,56.6,8.2,118.5,0.9,12.9,0.2,2.9,0.2,3.2,0.7,10.3
4,Aaron Holiday,ATL,50,26,24,14.5,21.1,0.4,0.1,0.2,41.7,0.0,0.0,100.0,0.2,57.1,0.1,33.3,0.0,0.0,0.0,0.0,0.0,4.8
5,Aaron Nesmith,IND,54,22,32,24.7,34.8,1.1,0.4,0.6,58.8,0.1,0.1,100.0,0.9,84.2,0.2,17.5,0.0,3.5,0.1,10.5,0.1,5.3
6,Aaron Wiggins,OKC,46,25,21,18.4,21.1,1.9,0.7,1.1,65.3,0.2,0.2,81.8,1.6,83.1,0.6,30.3,0.2,9.0,0.1,5.6,0.1,5.6
7,Admiral Schofield,ORL,27,11,16,13.0,20.0,1.0,0.4,0.7,61.1,0.0,0.1,50.0,0.9,82.1,0.3,28.6,0.1,7.1,0.0,0.0,0.0,3.6
8,Al Horford,BOS,46,33,13,30.7,46.5,2.9,0.7,1.3,55.7,0.1,0.1,75.0,1.6,53.3,1.3,43.7,0.3,11.9,0.2,5.2,0.0,1.5
9,Alec Burks,DET,46,12,34,22.0,34.7,0.4,0.1,0.2,44.4,0.0,0.0,0.0,0.2,52.9,0.1,35.3,0.0,5.9,0.0,11.8,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,3.4,1.2,2.1,54.5,0.1,0.2,66.7,2.5,72.4,0.8,23.8,0.1,1.9,0.2,6.7,0.1,2.9
11,Alex Caruso,CHI,48,19,29,24.3,46.2,1.2,0.3,0.5,57.7,0.1,0.1,83.3,0.7,59.3,0.5,42.4,0.2,18.6,0.0,3.4,0.1,5.1
12,Alex Len,SAC,14,9,5,3.4,6.1,0.9,0.3,0.3,100.0,0.1,0.1,50.0,0.6,75.0,0.4,50.0,0.1,8.3,0.0,0.0,0.1,8.3
13,Alize Johnson,SAS,4,1,3,7.4,11.5,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,50.0,0.0,0.0,0.3,25.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,53,10,43,28.3,53.8,7.3,2.5,4.2,58.6,0.5,0.6,70.6,5.6,76.0,1.9,26.5,0.6,8.0,0.5,6.2,0.2,3.4
16,Amir Coffey,LAC,40,21,19,14.3,15.5,0.3,0.1,0.1,50.0,0.0,0.0,0.0,0.1,33.3,0.2,50.0,0.0,8.3,0.0,0.0,0.0,0.0
17,Andre Drummond,CHI,46,19,27,12.9,18.4,4.7,2.0,3.1,64.3,0.5,1.0,43.8,4.5,96.3,0.6,12.9,0.2,3.2,0.3,6.9,0.5,11.1
18,Andre Iguodala,GSW,2,0,2,12.3,21.0,1.0,0.5,0.5,100.0,0.0,0.0,0.0,1.0,100.0,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,54,23,31,27.0,43.7,0.6,0.1,0.3,57.1,0.0,0.0,0.0,0.3,50.0,0.3,52.9,0.1,11.8,0.0,5.9,0.0,0.0
20,Andrew Wiggins,GSW,36,18,18,32.3,46.2,3.3,1.5,2.4,63.5,0.2,0.3,50.0,3.3,99.2,0.6,18.6,0.1,3.4,0.0,0.8,0.1,4.2
21,Anfernee Simons,POR,56,27,29,35.5,69.2,0.6,0.3,0.4,68.2,0.0,0.0,0.0,0.5,93.8,0.2,28.1,0.0,3.1,0.0,3.1,0.0,0.0
22,Anthony Davis,LAL,36,17,19,33.2,67.3,11.2,5.3,7.4,70.5,2.5,3.0,84.3,13.4,119.4,1.3,11.7,0.2,1.7,0.4,4.0,1.4,12.2
23,Anthony Edwards,MIN,61,31,30,36.2,73.0,0.9,0.4,0.5,74.2,0.0,0.1,50.0,0.8,87.7,0.3,33.3,0.0,3.5,0.0,3.5,0.0,3.5
24,Anthony Gill,WAS,41,17,24,10.0,10.0,1.2,0.7,0.9,83.3,0.1,0.1,75.0,1.6,130.6,0.2,16.3,0.0,0.0,0.0,2.0,0.0,2.0
25,Anthony Lamb,GSW,43,22,21,19.5,33.0,1.8,0.5,0.7,64.5,0.1,0.1,75.0,1.0,55.8,0.9,50.6,0.2,13.0,0.1,3.9,0.0,2.6
26,Austin Reaves,LAL,42,20,22,27.7,35.3,1.1,0.3,0.4,61.1,0.2,0.2,100.0,0.7,61.7,0.6,51.1,0.1,12.8,0.0,2.1,0.1,6.4
27,Austin Rivers,MIN,46,23,23,20.8,24.4,0.1,0.0,0.1,50.0,0.0,0.0,0.0,0.1,66.7,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0
28,Ayo Dosunmu,CHI,56,25,31,28.5,48.6,0.7,0.3,0.5,64.3,0.1,0.1,100.0,0.8,102.4,0.1,19.5,0.0,2.4,0.0,4.9,0.0,4.9
29,Bam Adebayo,MIA,54,29,25,35.3,65.0,8.0,3.2,5.2,61.3,0.9,1.1,81.0,7.4,91.9,1.7,21.2,0.2,2.5,0.3,3.7,0.5,6.7
30,Ben Simmons,BKN,42,24,18,26.3,61.4,4.0,1.6,2.3,71.1,0.1,0.2,30.0,3.4,84.6,1.4,33.7,0.3,8.3,0.2,4.1,0.1,3.0
31,Bennedict Mathurin,IND,61,26,35,28.2,42.3,1.9,0.7,1.2,62.0,0.3,0.4,83.3,1.8,98.2,0.3,16.7,0.0,0.0,0.0,2.6,0.2,10.5
32,Bismack Biyombo,PHX,46,25,21,14.0,23.1,4.5,1.4,2.3,60.6,0.2,0.7,32.3,3.0,66.2,1.5,32.9,0.2,4.3,0.2,5.3,0.3,6.3
33,Blake Griffin,BOS,26,17,9,14.4,21.0,2.2,0.8,1.1,72.4,0.2,0.3,50.0,1.8,82.5,0.7,33.3,0.2,7.0,0.1,3.5,0.2,7.0
34,Blake Wesley,SAS,15,2,13,14.0,27.3,0.6,0.1,0.3,25.0,0.1,0.3,50.0,0.3,44.4,0.2,33.3,0.0,0.0,0.0,0.0,0.1,11.1
35,Boban Marjanovic,HOU,19,1,18,4.4,5.7,1.1,0.6,0.7,92.3,0.3,0.3,83.3,1.6,155.0,0.1,5.0,0.0,0.0,0.1,5.0,0.2,15.0
36,Bobby Portis,MIL,47,30,17,26.8,52.6,4.6,1.9,3.0,62.4,0.3,0.3,87.5,4.1,88.9,1.1,23.6,0.2,3.7,0.2,3.7,0.2,3.7
37,Bogdan Bogdanovic,ATL,34,16,18,29.8,43.0,0.6,0.1,0.3,50.0,0.1,0.1,100.0,0.4,57.1,0.3,47.6,0.1,14.3,0.0,0.0,0.0,4.8
38,Bojan Bogdanovic,DET,56,15,41,32.0,46.6,0.8,0.3,0.6,48.5,0.1,0.1,87.5,0.7,87.0,0.1,13.0,0.0,2.2,0.0,4.3,0.1,6.5
39,Bol Bol,ORL,55,22,33,23.0,24.7,2.1,1.4,1.7,82.8,0.2,0.3,64.3,3.0,143.1,0.1,6.0,0.0,1.7,0.1,5.2,0.1,5.2
40,Bones Hyland,LAC,44,30,14,19.4,46.4,0.3,0.0,0.1,40.0,0.0,0.0,100.0,0.1,40.0,0.1,40.0,0.0,0.0,0.0,13.3,0.0,6.7
41,Bradley Beal,WAS,36,20,16,32.9,66.6,1.8,0.7,1.0,67.6,0.2,0.3,80.0,1.7,95.3,0.5,29.7,0.1,6.3,0.1,3.1,0.1,7.8
42,Brandon Boston Jr.,LAC,21,8,13,11.7,20.3,0.5,0.1,0.3,28.6,0.0,0.1,50.0,0.2,50.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0
43,Brandon Clarke,MEM,52,29,23,19.9,29.3,5.5,2.5,3.6,69.8,0.8,1.2,73.3,6.1,110.8,1.0,17.4,0.2,3.8,0.2,2.8,0.6,10.1
44,Brandon Ingram,NOP,25,12,13,32.3,64.8,0.8,0.3,0.5,66.7,0.0,0.0,0.0,0.6,76.2,0.2,28.6,0.0,0.0,0.0,4.8,0.0,0.0
45,Braxton Key,DET,3,0,3,3.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Brook Lopez,MIL,57,40,17,30.3,33.9,5.3,2.3,3.4,67.9,0.9,1.1,79.7,5.6,107.0,0.9,16.6,0.1,2.7,0.3,5.6,0.5,9.6
47,Bruce Brown,DEN,59,42,17,28.7,52.6,1.7,0.6,0.9,65.5,0.2,0.3,82.4,1.5,86.1,0.6,33.7,0.2,8.9,0.0,2.0,0.1,7.9
48,Bruno Fernando,ATL,32,9,23,11.5,20.6,3.8,1.3,2.2,58.6,0.6,0.8,75.0,3.2,82.8,0.9,24.6,0.3,7.4,0.2,4.9,0.4,9.8
49,Bryce McGowens,CHA,26,8,18,14.7,15.4,0.5,0.2,0.3,62.5,0.0,0.0,0.0,0.4,71.4,0.2,35.7,0.0,0.0,0.0,0.0,0.0,0.0
50,Bryn Forbes,MIN,25,9,16,10.7,11.9,0.1,0.0,0.0,100.0,0.0,0.0,0.0,0.1,100.0,0.0,33.3,0.0,0.0,0.0,33.3,0.0,0.0
51,Buddy Boeheim,DET,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Buddy Hield,IND,61,26,35,32.1,60.2,0.8,0.3,0.4,72.0,0.0,0.0,66.7,0.7,80.4,0.4,43.1,0.0,5.9,0.0,2.0,0.0,2.0
53,CJ McCollum,NOP,53,26,27,35.0,75.0,0.5,0.2,0.3,52.9,0.0,0.0,0.0,0.3,62.1,0.2,27.6,0.1,13.8,0.0,6.9,0.0,0.0
54,Cade Cunningham,DET,12,3,9,33.3,78.3,0.9,0.3,0.4,60.0,0.3,0.3,100.0,0.8,90.9,0.3,27.3,0.1,9.1,0.1,9.1,0.2,18.2
55,Caleb Houstan,ORL,34,12,22,16.1,13.6,0.8,0.3,0.5,50.0,0.1,0.1,100.0,0.6,76.9,0.1,19.2,0.0,3.8,0.0,3.8,0.0,3.8
56,Caleb Martin,MIA,49,26,23,30.3,39.6,2.5,0.7,1.1,64.2,0.2,0.3,75.0,1.6,66.1,1.1,44.6,0.2,7.4,0.1,2.5,0.2,6.6
57,Cam Reddish,POR,24,10,14,22.6,22.3,0.9,0.5,0.6,73.3,0.0,0.0,0.0,0.9,104.8,0.2,23.8,0.0,4.8,0.0,4.8,0.0,0.0
58,Cam Thomas,BKN,41,25,16,16.6,29.5,0.2,0.1,0.1,83.3,0.0,0.0,100.0,0.3,120.0,0.1,30.0,0.0,20.0,0.0,0.0,0.0,0.0
59,Cameron Johnson,BKN,20,14,6,25.9,35.2,1.1,0.5,0.8,60.0,0.2,0.3,66.7,1.1,104.8,0.1,9.5,0.0,0.0,0.0,0.0,0.2,14.3
60,Cameron Payne,PHX,28,15,13,24.0,57.8,0.3,0.1,0.1,75.0,0.0,0.0,0.0,0.2,75.0,0.1,50.0,0.1,25.0,0.0,0.0,0.0,0.0
61,Caris LeVert,CLE,56,33,23,30.5,49.4,1.1,0.2,0.4,45.8,0.1,0.2,70.0,0.5,49.2,0.5,44.3,0.1,4.9,0.1,4.9,0.1,8.2
62,Carlik Jones,CHI,1,0,1,21.7,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0
63,Cedi Osman,CLE,59,37,22,21.1,30.2,0.8,0.3,0.5,70.4,0.0,0.1,25.0,0.7,86.7,0.2,26.7,0.0,2.2,0.0,2.2,0.0,4.4
64,Charles Bassey,SAS,27,5,22,13.8,23.6,4.3,1.8,2.6,71.0,0.7,0.9,75.0,4.4,100.9,0.9,21.4,0.1,1.7,0.3,7.7,0.4,8.5
