,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
379,Noah Vonleh,BOS,23,17,6,7.5,0.3,0.1,0.2,50.0,0.1,0.1,100.0,0.3,85.7,0.0,14.3,0.0,0.0,0.0,14.3,0.0,14.3
380,Norman Powell,LAC,50,27,23,25.8,8.2,2.1,3.8,55.0,1.1,1.4,79.2,5.5,66.9,2.7,32.6,0.5,6.3,0.7,8.5,0.7,8.8
381,O.G. Anunoby,TOR,46,22,24,35.7,7.3,1.4,3.5,39.8,0.7,1.0,71.1,3.6,49.3,2.4,32.3,0.4,5.9,0.8,10.4,0.5,6.8
382,Obi Toppin,NYK,45,23,22,14.9,1.0,0.2,0.5,39.1,0.0,0.0,100.0,0.4,43.5,0.4,43.5,0.1,10.9,0.0,2.2,0.0,2.2
383,Ochai Agbaji,UTA,38,22,16,15.2,1.3,0.3,0.5,50.0,0.0,0.1,0.0,0.6,41.2,0.6,41.2,0.1,7.8,0.2,11.8,0.0,2.0
384,Onyeka Okongwu,ATL,57,29,28,23.9,0.5,0.2,0.4,50.0,0.0,0.1,25.0,0.4,86.2,0.1,13.8,0.0,0.0,0.0,0.0,0.0,6.9
385,Orlando Robinson,MIA,29,17,12,13.7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,Oshae Brissett,IND,49,21,28,16.0,1.9,0.3,0.9,37.0,0.6,0.9,71.4,1.3,66.7,0.3,18.3,0.1,3.2,0.2,8.6,0.4,22.6
387,Otto Porter Jr.,TOR,8,4,4,18.3,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,75.0,0.1,25.0,0.0,0.0,0.0,0.0
388,Ousmane Dieng,OKC,19,8,11,15.0,1.6,0.1,0.6,18.2,0.0,0.0,0.0,0.2,13.3,0.8,50.0,0.2,13.3,0.2,10.0,0.0,0.0
389,P.J. Tucker,PHI,56,37,19,25.8,0.3,0.0,0.1,33.3,0.0,0.0,0.0,0.0,14.3,0.2,71.4,0.0,7.1,0.0,7.1,0.0,0.0
390,P.J. Washington,CHA,59,17,42,32.9,5.4,1.3,2.9,44.7,0.4,0.6,71.4,3.1,57.1,1.7,32.2,0.3,6.3,0.4,6.9,0.3,5.7
391,PJ Dozier,SAC,4,4,0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,Paolo Banchero,ORL,53,22,31,33.7,9.5,1.9,4.5,43.5,2.1,2.8,72.7,6.2,65.1,2.5,26.7,0.5,5.4,0.8,8.0,1.4,15.0
393,Pascal Siakam,TOR,50,24,26,37.7,15.1,3.1,6.6,46.8,2.5,3.3,75.4,9.0,59.4,5.5,36.4,1.4,9.0,0.8,5.4,1.7,11.1
394,Pat Connaughton,MIL,41,28,13,25.4,2.0,0.4,0.9,48.6,0.1,0.2,50.0,1.0,47.6,1.0,48.8,0.3,15.5,0.0,1.2,0.1,6.0
395,Patrick Baldwin Jr.,GSW,17,5,12,8.2,1.0,0.2,0.5,44.4,0.2,0.2,75.0,0.6,64.7,0.4,35.3,0.1,5.9,0.0,0.0,0.1,11.8
396,Patrick Beverley,CHI,45,21,24,26.9,4.6,0.6,1.2,50.0,0.4,0.4,85.0,1.7,36.9,2.5,55.3,0.7,15.5,0.4,8.7,0.2,4.9
397,Patrick Williams,CHI,58,25,33,29.0,2.1,0.5,1.3,41.9,0.2,0.2,85.7,1.3,62.3,0.5,24.6,0.1,6.6,0.2,8.2,0.1,5.7
398,Patty Mills,BKN,36,18,18,13.3,1.8,0.4,0.6,61.9,0.1,0.1,100.0,0.8,44.6,1.1,58.5,0.3,13.8,0.1,4.6,0.0,1.5
399,Paul George,LAC,44,27,17,34.2,10.9,2.1,4.1,51.4,1.6,1.9,81.2,5.8,53.5,4.5,41.3,1.3,11.5,1.1,9.8,1.0,8.8
400,Paul Reed,PHI,45,29,16,9.5,0.3,0.1,0.2,42.9,0.0,0.0,0.0,0.1,40.0,0.1,20.0,0.0,0.0,0.1,33.3,0.0,0.0
401,Payton Pritchard,BOS,42,30,12,12.8,2.7,0.3,0.8,34.4,0.1,0.2,62.5,0.6,23.5,1.7,62.6,0.3,10.4,0.1,5.2,0.1,3.5
402,Peyton Watson,DEN,12,8,4,3.2,0.8,0.4,0.6,71.4,0.0,0.0,0.0,0.8,100.0,0.3,30.0,0.0,0.0,0.0,0.0,0.0,0.0
403,Precious Achiuwa,TOR,36,20,16,23.5,2.8,0.8,1.6,48.3,0.5,0.6,85.7,2.0,71.6,0.5,17.6,0.1,2.9,0.4,12.7,0.3,9.8
404,Quentin Grimes,NYK,49,27,22,30.2,3.5,0.6,1.2,51.7,0.5,0.5,88.5,1.7,49.4,1.9,52.9,0.5,13.4,0.2,5.8,0.3,8.1
405,Quenton Jackson,WAS,3,2,1,2.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,100.0,0.3,50.0,0.0,0.0,0.0,0.0
406,R.J. Hampton,DET,26,7,19,13.9,4.2,0.8,1.6,51.2,0.4,0.5,83.3,2.1,50.5,1.8,43.1,0.4,9.2,0.3,6.4,0.2,5.5
407,RJ Barrett,NYK,53,28,25,34.5,12.4,2.9,6.3,46.4,2.0,2.6,77.7,8.2,66.5,3.5,27.9,0.9,7.0,0.8,6.9,1.3,10.5
408,Raul Neto,CLE,39,26,13,10.3,2.5,0.5,0.9,61.8,0.2,0.3,80.0,1.3,53.1,1.3,51.0,0.3,11.5,0.1,2.1,0.2,6.3
409,Reggie Bullock,DAL,59,31,28,30.3,0.4,0.1,0.2,36.4,0.0,0.0,100.0,0.2,41.7,0.2,37.5,0.0,4.2,0.1,12.5,0.0,4.2
410,Reggie Jackson,DEN,53,29,24,25.6,6.7,1.6,3.4,47.5,0.5,0.5,89.7,3.9,57.9,2.4,35.7,0.6,9.3,0.5,6.7,0.3,4.2
411,Richaun Holmes,SAC,34,17,17,8.9,0.2,0.1,0.1,50.0,0.1,0.1,100.0,0.2,100.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,16.7
412,Ricky Rubio,CLE,14,10,4,16.8,6.1,0.6,1.5,38.1,0.4,0.7,50.0,1.5,24.4,3.7,60.5,0.9,15.1,0.3,4.7,0.4,5.8
413,Robert Covington,LAC,36,15,21,16.2,1.5,0.2,0.5,38.9,0.3,0.3,83.3,0.7,43.6,0.6,41.8,0.3,16.4,0.1,9.1,0.2,10.9
414,Robert Williams III,BOS,24,16,8,23.7,0.1,0.0,0.0,0.0,0.1,0.1,100.0,0.1,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
415,Robin Lopez,CLE,30,22,8,7.9,0.3,0.1,0.2,50.0,0.0,0.0,0.0,0.2,66.7,0.0,11.1,0.0,0.0,0.1,22.2,0.0,0.0
416,Rodney McGruder,DET,21,3,18,10.4,0.9,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.4,44.4,0.1,16.7,0.0,5.6,0.0,5.6
417,Romeo Langford,SAS,31,10,21,20.3,4.5,1.2,2.6,46.3,0.4,0.6,72.2,2.9,63.1,1.3,28.4,0.4,7.8,0.2,4.3,0.3,6.4
418,Ron Harper Jr.,TOR,3,2,1,3.1,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,Royce O'Neale,BKN,55,31,24,33.4,4.0,0.5,1.5,32.5,0.2,0.4,65.0,1.2,30.6,1.9,47.5,0.6,14.2,0.4,10.5,0.2,4.1
420,Rudy Gay,UTA,45,24,21,14.4,0.9,0.3,0.6,48.3,0.2,0.2,100.0,0.8,90.5,0.2,16.7,0.1,7.1,0.0,0.0,0.1,11.9
421,Rudy Gobert,MIN,50,23,27,30.5,0.8,0.3,0.5,58.3,0.1,0.1,83.3,0.7,89.5,0.1,13.2,0.0,0.0,0.1,13.2,0.1,7.9
422,Rui Hachimura,LAL,42,23,19,24.8,3.3,1.0,2.2,45.7,0.4,0.5,72.7,2.5,75.4,0.5,15.2,0.1,2.2,0.2,6.5,0.3,8.0
423,Russell Westbrook,LAC,52,25,27,28.7,15.1,2.5,5.3,47.4,1.4,2.0,70.6,6.5,43.3,7.4,49.2,2.3,15.0,1.0,6.9,1.0,6.5
424,Ryan Arcidiacono,POR,14,8,6,5.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,57.1,0.1,7.1,0.1,7.1,0.0,0.0
425,Ryan Rollins,GSW,12,5,7,5.2,1.8,0.1,0.4,20.0,0.2,0.2,100.0,0.3,18.2,1.0,54.5,0.1,4.5,0.3,13.6,0.1,4.5
426,Saben Lee,PHX,20,12,8,14.7,6.2,0.8,1.7,48.5,1.0,1.3,73.1,2.6,41.9,3.1,49.2,0.5,8.1,0.7,10.5,0.7,10.5
427,Saddiq Bey,ATL,53,12,41,28.5,5.5,1.2,2.7,45.8,1.7,2.0,87.5,4.5,81.1,1.2,22.3,0.3,5.2,0.5,8.6,1.0,17.9
428,Sam Hauser,BOS,58,41,17,15.8,0.7,0.1,0.2,61.5,0.0,0.1,50.0,0.3,48.7,0.4,56.4,0.1,17.9,0.0,2.6,0.0,5.1
