,PLAYER,TEAM,GP,W,L,MIN,Touches,Post Ups,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,27,21,6,9.8,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,56,26,30,20.4,22.1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aaron Gordon,DEN,49,35,14,30.3,42.8,2.3,0.6,1.2,50.9,0.5,0.7,71.9,1.7,75.7,0.5,21.6,0.1,3.6,0.1,6.3,0.3,13.5
4,Aaron Holiday,ATL,51,27,24,14.3,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,55,23,32,24.6,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Aaron Wiggins,OKC,47,25,22,18.4,21.2,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Admiral Schofield,ORL,28,11,17,12.6,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Al Horford,BOS,47,34,13,30.8,46.5,1.1,0.2,0.4,50.0,0.0,0.0,0.0,0.4,36.0,0.4,38.0,0.1,12.0,0.1,14.0,0.0,0.0
9,Alec Burks,DET,47,12,35,21.9,34.4,0.3,0.1,0.1,57.1,0.0,0.0,0.0,0.2,57.1,0.1,42.9,0.0,0.0,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alex Caruso,CHI,49,20,29,24.2,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Alex Len,SAC,14,9,5,3.4,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alize Johnson,SAS,4,1,3,7.4,11.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,54,10,44,28.2,53.6,4.4,0.9,1.7,54.9,0.4,0.6,70.0,2.2,51.5,1.7,38.3,0.4,9.4,0.3,6.4,0.3,6.4
16,Amir Coffey,LAC,40,21,19,14.3,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Andre Drummond,CHI,47,20,27,13.0,18.4,0.4,0.1,0.2,55.6,0.0,0.0,50.0,0.2,55.0,0.2,40.0,0.0,5.0,0.0,5.0,0.0,5.0
18,Andre Iguodala,GSW,2,0,2,12.3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,55,24,31,27.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0
20,Andrew Wiggins,GSW,36,18,18,32.3,46.2,1.7,0.4,0.8,59.3,0.1,0.2,66.7,1.0,58.1,0.8,43.5,0.2,12.9,0.0,1.6,0.1,4.8
21,Anfernee Simons,POR,56,27,29,35.5,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
