,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
330,MarJon Beauchamp,MIL,35,14.8,22,13,0.4,0.1,1.5,0.8,1.1,73.7
331,Marcus Morris Sr.,LAC,50,28.9,27,23,0.7,0.4,3.9,1.8,2.4,74.6
332,Marcus Smart,BOS,41,32.5,30,11,1.3,0.4,2.7,1.7,2.4,69.7
333,Mark Williams,CHA,25,14.0,8,17,0.7,1.0,3.6,1.4,2.8,50.7
334,Markelle Fultz,ORL,34,28.6,17,17,1.5,0.4,2.6,1.8,2.1,84.5
335,Markieff Morris,DAL,27,10.6,16,11,0.3,0.2,1.7,0.9,1.4,64.1
336,Marko Simonovic,CHI,1,1.7,0,1,0.0,0.0,0.0,0.0,0.0,0.0
337,Marvin Bagley III,DET,25,21.3,6,19,0.5,0.7,3.8,2.6,3.6,72.5
338,Mason Plumlee,CHA,56,28.5,15,41,0.6,0.6,6.3,3.7,5.8,64.3
339,Matisse Thybulle,PHI,49,12.1,32,17,0.9,0.3,0.9,0.4,0.7,59.4
340,Matt Ryan,MIN,32,9.5,14,18,0.2,0.0,0.7,0.8,1.1,68.6
341,Matthew Dellavedova,SAC,23,6.3,13,10,0.3,0.0,0.3,0.3,0.4,70.0
342,Max Christie,LAL,33,14.5,14,19,0.2,0.2,2.0,0.7,1.3,57.1
343,Max Strus,MIA,53,29.6,28,25,0.7,0.2,2.9,1.3,1.8,69.8
344,Maxi Kleber,DAL,22,25.7,13,9,0.3,1.0,2.7,2.1,3.2,66.2
345,McKinley Wright IV,DAL,18,10.0,10,8,0.4,0.2,1.1,0.8,1.2,66.7
346,Mfiondu Kabengele,BOS,2,7.0,1,1,0.0,0.0,1.0,1.5,3.0,50.0
347,Micah Potter,UTA,3,4.8,2,1,0.0,0.0,0.7,0.7,1.0,66.7
348,Michael Foster Jr.,PHI,1,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
349,Michael Porter Jr.,DEN,38,29.0,27,11,0.7,0.5,4.4,2.0,2.9,69.7
350,Mikal Bridges,BKN,56,36.4,30,26,1.2,0.8,3.3,2.1,3.4,62.3
351,Mike Conley,MIN,43,29.7,22,21,1.0,0.2,2.1,1.9,2.9,66.9
352,Mike Muscala,OKC,43,14.5,20,23,0.3,0.4,2.6,2.3,3.6,65.6
353,Miles McBride,NYK,44,13.1,24,20,0.6,0.0,0.7,0.5,1.0,54.5
354,Mitchell Robinson,NYK,38,26.9,21,17,0.9,1.8,4.6,2.6,4.4,58.1
355,Mo Bamba,LAL,40,17.0,18,22,0.3,1.0,3.4,2.1,3.6,57.2
356,Monte Morris,WAS,46,28.3,22,24,0.7,0.2,2.9,1.2,1.8,66.7
357,Montrezl Harrell,PHI,49,12.7,31,18,0.3,0.5,1.6,1.5,2.4,62.9
358,Moritz Wagner,ORL,34,21.3,16,18,0.6,0.2,3.6,2.6,3.4,77.4
359,Moses Brown,LAC,34,8.5,16,18,0.1,0.4,2.4,1.1,1.9,56.1
360,Moses Moody,GSW,40,14.6,20,20,0.3,0.1,1.2,0.9,1.4,63.2
361,Moussa Diabate,LAC,15,10.9,7,8,0.3,0.3,1.1,1.3,2.3,58.8
362,Myles Turner,IND,47,29.9,22,25,0.6,2.4,6.5,4.6,8.2,55.3
363,Naji Marshall,NOP,51,25.1,27,24,0.8,0.2,3.0,1.3,1.7,75.0
364,Nassir Little,POR,34,16.2,18,16,0.3,0.3,1.9,1.1,1.6,67.3
365,Nathan Knight,MIN,32,8.3,16,16,0.3,0.2,0.9,0.6,0.9,65.5
366,Naz Reid,MIN,50,17.9,24,26,0.6,0.9,3.6,2.6,4.1,64.5
367,Neemias Queta,SAC,4,6.1,1,3,0.0,0.3,1.3,1.8,2.3,77.8
368,Nerlens Noel,DET,14,10.8,2,12,0.9,0.6,2.1,1.3,1.9,66.7
369,Nic Claxton,BKN,51,29.7,29,22,0.8,2.6,6.6,3.5,6.7,51.3
370,Nick Richards,CHA,41,17.0,10,31,0.2,0.9,3.0,2.0,3.7,52.6
371,Nickeil Alexander-Walker,MIN,36,14.7,18,18,0.7,0.4,1.4,1.2,1.6,75.9
372,Nicolas Batum,LAC,55,21.9,31,24,0.6,0.7,3.4,1.7,2.9,58.0
373,Nikola Jokic,DEN,47,33.5,35,12,1.3,0.7,9.3,5.4,8.0,68.2
374,Nikola Jovic,MIA,15,13.6,7,8,0.5,0.1,1.5,1.8,2.1,87.1
375,Nikola Vucevic,CHI,53,33.8,25,28,0.7,0.8,9.1,4.7,6.8,69.1
376,Noah Vonleh,BOS,23,7.5,17,6,0.1,0.3,1.3,0.7,1.3,53.3
377,Norman Powell,LAC,48,25.9,26,22,0.8,0.3,2.7,1.3,1.8,72.7
378,O.G. Anunoby,TOR,45,35.8,21,24,2.1,0.8,4.0,1.6,2.8,56.8
379,Obi Toppin,NYK,41,15.1,20,21,0.3,0.1,2.8,0.8,1.0,76.2
380,Ochai Agbaji,UTA,33,13.7,19,14,0.1,0.1,1.0,0.9,1.3,65.9
381,Onyeka Okongwu,ATL,53,24.3,27,26,0.6,1.3,4.7,3.4,5.7,59.9
382,Orlando Robinson,MIA,25,14.2,15,10,0.5,0.4,2.6,1.7,3.0,56.8
383,Oshae Brissett,IND,48,16.2,21,27,0.6,0.2,2.5,1.2,1.8,66.3
384,Otto Porter Jr.,TOR,8,18.3,4,4,1.4,0.0,1.6,2.6,3.3,80.8
385,Ousmane Dieng,OKC,19,15.0,8,11,0.3,0.3,2.2,1.2,2.3,52.3
386,P.J. Tucker,PHI,51,26.1,32,19,0.5,0.3,2.7,1.5,2.1,73.3
387,P.J. Washington,CHA,55,32.8,15,40,0.9,1.1,3.5,2.5,4.0,63.3
388,PJ Dozier,SAC,4,2.6,4,0,0.8,0.0,0.5,0.3,0.3,100.0
389,Paolo Banchero,ORL,48,33.8,19,29,1.0,0.5,5.5,2.5,3.9,64.6
390,Pascal Siakam,TOR,46,37.5,21,25,0.8,0.5,6.0,2.9,4.2,68.4
391,Pat Connaughton,MIL,38,25.2,25,13,0.7,0.1,4.1,1.3,2.2,59.5
392,Patrick Baldwin Jr.,GSW,15,8.5,5,10,0.4,0.1,1.4,0.8,0.9,85.7
393,Patrick Beverley,ORL,45,26.9,21,24,0.9,0.6,2.6,1.5,2.0,73.6
394,Patrick Williams,CHI,53,29.2,25,28,0.7,0.8,3.4,2.3,3.4,68.3
395,Patty Mills,BKN,34,13.5,17,17,0.4,0.1,0.8,0.4,0.6,78.9
396,Paul George,LAC,41,34.3,25,16,1.5,0.4,5.4,2.3,3.3,67.9
397,Paul Reed,PHI,40,9.4,24,16,0.6,0.6,1.9,1.6,2.4,68.4
398,Payton Pritchard,BOS,39,12.4,28,11,0.3,0.0,1.0,0.7,0.9,82.4
399,Peyton Watson,DEN,10,3.6,6,4,0.0,0.1,0.5,0.5,0.7,71.4
400,Precious Achiuwa,TOR,32,22.8,17,15,0.8,0.7,4.4,2.5,4.3,57.7
401,Quentin Grimes,NYK,45,30.5,24,21,0.7,0.4,2.6,1.6,2.2,72.3
402,R.J. Hampton,ORL,26,13.9,7,19,0.6,0.2,1.2,0.7,1.3,57.6
403,RJ Barrett,NYK,49,34.9,25,24,0.5,0.2,4.4,1.8,2.7,65.6
404,Raul Neto,CLE,37,10.5,25,12,0.4,0.1,0.8,0.5,0.6,81.0
405,Reggie Bullock,DAL,54,30.0,29,25,0.8,0.2,3.0,1.4,2.1,68.5
406,Reggie Jackson,LAC,52,25.7,28,24,0.7,0.1,1.8,1.3,1.9,68.4
407,Richaun Holmes,SAC,33,9.1,16,17,0.1,0.3,1.4,0.9,1.5,56.9
408,Ricky Rubio,CLE,12,16.3,8,4,0.8,0.1,2.4,0.4,0.8,50.0
409,Robert Covington,LAC,35,15.9,15,20,0.7,0.7,3.0,1.5,2.7,53.7
410,Robert Williams III,BOS,20,23.5,13,7,0.6,1.3,5.2,1.3,2.1,61.9
411,Robin Lopez,CLE,29,8.1,21,8,0.0,0.1,0.7,1.6,2.3,67.6
412,Rodney McGruder,DET,20,10.7,2,18,0.3,0.0,0.9,0.6,0.8,80.0
413,Romeo Langford,SAS,31,20.3,10,21,0.5,0.4,1.5,1.0,1.5,62.5
414,Ron Harper Jr.,TOR,3,3.1,2,1,0.0,0.0,0.3,0.0,0.7,0.0
415,Royce O'Neale,BKN,51,34.2,29,22,0.9,0.7,4.2,2.8,4.0,70.3
416,Rudy Gay,UTA,41,14.6,21,20,0.4,0.3,2.3,1.0,1.6,63.1
417,Rudy Gobert,MIN,47,30.4,22,25,0.8,1.3,8.3,3.9,6.9,56.9
418,Rui Hachimura,LAL,37,24.7,20,17,0.4,0.4,3.8,1.6,2.3,70.6
419,Russell Westbrook,UTA,52,28.7,25,27,1.0,0.4,5.0,1.5,2.3,64.4
420,Ryan Arcidiacono,NYK,11,2.4,7,4,0.2,0.0,0.4,0.1,0.1,100.0
421,Ryan Rollins,GSW,12,5.2,5,7,0.1,0.1,0.8,0.3,0.4,80.0
422,Saben Lee,PHX,16,15.2,10,6,0.6,0.1,1.3,0.7,0.8,84.6
423,Saddiq Bey,DET,51,28.9,12,39,0.9,0.2,3.5,1.7,2.2,78.1
424,Sam Hauser,BOS,53,14.7,37,16,0.3,0.2,2.2,1.0,1.4,71.1
425,Sandro Mamukelashvili,MIL,21,8.3,14,7,0.1,0.1,1.6,0.6,0.9,68.4
426,Santi Aldama,MEM,51,22.0,30,21,0.7,0.7,3.7,2.6,4.0,64.9
427,Scottie Barnes,TOR,53,35.1,24,29,1.0,0.9,4.8,3.4,5.4,62.7
428,Scotty Pippen Jr.,LAL,6,5.3,1,5,0.3,0.2,0.3,0.3,0.5,66.7
429,Serge Ibaka,IND,16,11.6,11,5,0.1,0.4,1.8,1.4,2.4,60.5
430,Seth Curry,BKN,39,23.2,26,13,0.7,0.2,1.7,0.8,1.2,68.9
431,Shaedon Sharpe,POR,54,19.9,26,28,0.3,0.2,1.7,1.3,1.7,74.2
432,Shai Gilgeous-Alexander,OKC,50,35.4,23,27,1.7,1.1,3.8,2.4,3.7,63.4
433,Shake Milton,PHI,49,22.1,34,15,0.4,0.2,2.3,1.0,1.2,83.1
434,Simone Fontecchio,UTA,27,8.7,15,12,0.1,0.2,0.6,0.6,1.0,60.7
435,Spencer Dinwiddie,BKN,53,34.1,28,25,0.7,0.3,2.7,1.3,1.8,69.8
436,Stanley Johnson,SAS,27,15.2,5,22,0.4,0.2,2.3,0.9,1.6,58.1
437,Stephen Curry,GSW,37,34.9,19,18,1.0,0.4,5.8,1.6,2.3,70.2
438,Sterling Brown,LAL,4,6.1,2,2,0.8,0.0,1.3,0.0,0.0,0.0
439,Steven Adams,MEM,42,27.0,28,14,0.9,1.1,6.5,3.0,5.3,56.3
440,Svi Mykhailiuk,NYK,13,3.1,8,5,0.1,0.0,0.5,0.2,0.2,66.7
441,T.J. McConnell,IND,53,19.6,23,30,1.0,0.1,2.3,0.8,1.1,73.2
442,T.J. Warren,PHX,26,18.8,16,10,0.6,0.3,2.3,1.5,2.1,74.1
443,Taj Gibson,WAS,35,9.8,16,19,0.4,0.3,1.2,1.1,1.5,76.5
444,Talen Horton-Tucker,UTA,42,15.6,21,21,0.6,0.3,1.9,1.0,1.5,67.2
445,Tari Eason,HOU,55,19.4,13,42,1.1,0.6,3.4,1.4,2.1,67.5
