,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
0,A.J. Lawson,DAL,12,5,7,4.2,2.0,4.1,2.8,0.1,1.42,0.63,0.49,0.0,0.0,0.1,0.0,0.0,2.0
1,AJ Green,MIL,25,19,6,8.9,4.2,10.9,6.6,0.5,2.52,1.75,0.39,0.1,0.0,0.4,0.0,0.0,0.889
2,AJ Griffin,ATL,53,25,28,20.6,9.4,22.2,15.1,0.8,2.04,1.47,0.422,0.5,0.0,0.6,0.852,2.0,0.871
3,Aaron Gordon,DEN,49,35,14,30.3,17.3,42.8,23.7,2.1,2.95,2.12,0.405,1.8,2.3,7.0,0.478,0.757,1.185
4,Aaron Holiday,ATL,49,26,23,14.6,4.3,21.2,8.6,1.4,3.99,3.61,0.203,0.1,0.0,0.4,0.286,0.0,0.571
5,Aaron Nesmith,IND,51,21,30,24.3,9.4,34.1,20.0,0.9,1.62,0.76,0.277,0.4,0.0,1.1,0.842,0.0,0.836
6,Aaron Wiggins,OKC,44,24,20,18.7,6.5,21.6,14.0,0.7,1.9,1.26,0.301,0.6,0.0,2.0,0.385,2.0,0.828
7,Admiral Schofield,ORL,27,11,16,13.0,4.6,20.0,9.3,0.6,1.7,0.79,0.228,0.5,0.0,1.0,0.615,0.0,0.821
8,Al Horford,BOS,43,30,13,30.8,9.1,46.0,25.5,1.2,1.55,0.47,0.197,1.2,1.0,2.7,0.26,0.409,0.564
9,Alec Burks,DET,43,12,31,22.0,13.0,34.8,21.3,1.8,3.07,2.37,0.374,0.3,0.3,0.4,0.571,0.615,0.563
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,44.4,24.2,1.2,1.6,0.75,0.199,1.6,0.0,3.4,0.608,0.0,0.724
11,Alex Caruso,CHI,47,19,28,24.2,5.6,46.2,18.4,2.1,2.74,2.02,0.121,0.9,0.0,1.2,0.2,0.0,0.625
12,Alex Len,SAC,13,8,5,3.5,1.0,6.5,3.5,0.2,1.51,0.41,0.155,1.3,0.0,0.8,0.353,0.0,0.818
13,Alize Johnson,SAS,4,1,3,7.4,1.8,11.5,5.5,0.5,2.7,1.98,0.152,0.0,0.3,1.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,9.0,3.0,0.4,2.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,51,10,41,28.3,15.3,53.7,37.3,2.2,2.41,1.24,0.286,5.5,4.2,7.4,0.566,0.547,0.77
16,Amir Coffey,LAC,39,20,19,14.6,4.1,15.8,11.5,0.7,2.54,1.72,0.258,0.2,0.0,0.3,0.167,0.0,0.333
17,Andre Drummond,CHI,43,19,24,12.9,6.5,18.6,11.9,0.4,1.43,0.48,0.351,2.0,0.4,4.7,0.631,0.563,0.956
18,Andre Iguodala,GSW,2,0,2,12.2,1.0,21.0,10.5,0.6,1.81,0.62,0.048,1.0,0.0,1.0,0.0,0.0,1.0
19,Andrew Nembhard,IND,51,22,29,27.3,8.3,44.6,23.2,2.5,3.38,3.05,0.185,0.5,0.0,0.7,0.48,0.0,0.5
20,Andrew Wiggins,GSW,35,17,18,32.1,16.8,45.8,31.3,1.7,2.28,1.48,0.367,0.7,1.6,3.2,0.808,0.5,0.982
21,Anfernee Simons,POR,54,26,28,35.9,21.6,69.7,33.5,5.5,4.75,4.15,0.309,0.3,0.0,0.6,1.188,0.0,0.938
22,Anthony Davis,LAL,33,15,18,33.5,26.2,68.1,37.3,2.3,2.01,0.76,0.384,4.9,5.6,11.4,0.755,0.723,1.205
23,Anthony Edwards,MIN,59,30,29,36.2,24.6,72.9,36.5,4.9,4.02,3.5,0.338,0.5,0.5,1.0,0.677,0.774,0.877
24,Anthony Gill,WAS,39,16,23,10.2,3.1,10.2,6.6,0.3,1.65,0.6,0.305,0.5,0.0,1.2,0.632,0.0,1.304
25,Anthony Lamb,GSW,41,22,19,19.2,7.0,32.5,17.3,1.0,1.79,0.92,0.217,0.6,0.4,1.8,0.375,0.0,0.581
26,Austin Reaves,LAL,39,18,21,28.1,10.6,35.6,20.0,1.7,2.92,2.31,0.298,0.7,0.0,1.1,0.462,0.0,0.643
27,Austin Rivers,MIN,44,22,22,21.1,5.5,24.9,14.3,1.3,3.06,2.43,0.221,0.1,0.0,0.1,1.0,0.0,0.667
28,Ayo Dosunmu,CHI,53,25,28,28.0,9.5,48.1,18.3,2.8,3.43,3.11,0.199,0.2,0.0,0.8,1.077,0.0,1.024
29,Bam Adebayo,MIA,52,29,23,35.3,21.6,64.8,37.6,3.0,2.81,1.57,0.333,7.2,2.7,8.1,0.71,0.612,0.931
30,Ben Simmons,BKN,40,23,17,26.8,7.2,62.3,21.7,3.6,3.43,2.37,0.115,2.2,1.1,4.1,0.348,0.444,0.848
31,Bennedict Mathurin,IND,58,25,33,28.2,17.2,42.4,28.9,1.8,2.48,1.69,0.406,1.2,0.1,1.9,1.0,0.333,1.0
32,Bismack Biyombo,PHX,45,25,20,14.0,3.8,22.9,13.5,0.6,1.58,0.49,0.165,2.5,0.9,4.5,0.345,0.325,0.668
