,PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
423,Ryan Rollins,GSW,12,5,7,5.2,2199.4,0.42,0.22,0.19,4.47,4.7,4.23
424,Saben Lee,PHX,19,12,7,15.1,6242.3,1.18,0.63,0.55,4.33,4.56,4.07
425,Saddiq Bey,ATL,52,12,40,28.7,11024.8,2.09,1.1,0.99,4.08,4.27,3.88
426,Sam Hauser,BOS,56,39,17,15.7,6771.3,1.28,0.72,0.56,4.56,5.02,4.08
427,Sandro Mamukelashvili,MIL,23,16,7,8.6,3576.5,0.68,0.38,0.3,4.38,4.68,4.01
428,Santi Aldama,MEM,53,31,22,22.1,9172.4,1.74,0.91,0.83,4.39,4.62,4.17
429,Scottie Barnes,TOR,56,26,30,35.2,14123.3,2.67,1.43,1.24,4.25,4.58,3.92
430,Scotty Pippen Jr.,LAL,6,1,5,5.3,2216.3,0.42,0.22,0.2,4.32,4.71,3.96
431,Serge Ibaka,MIL,16,11,5,11.6,4277.7,0.81,0.45,0.36,3.9,4.03,3.69
432,Seth Curry,BKN,39,26,13,23.2,8644.9,1.64,0.88,0.76,3.95,4.24,3.65
433,Shaedon Sharpe,POR,57,27,30,20.3,8029.9,1.52,0.8,0.72,4.18,4.32,4.03
434,Shai Gilgeous-Alexander,OKC,52,24,28,35.5,13436.0,2.54,1.38,1.17,4.0,4.55,3.51
435,Shake Milton,PHI,52,37,15,21.7,8476.4,1.61,0.87,0.74,4.12,4.44,3.81
436,Simone Fontecchio,UTA,30,17,13,9.2,3917.5,0.74,0.42,0.33,4.46,4.85,4.05
437,Spencer Dinwiddie,BKN,56,29,27,34.1,12266.5,2.32,1.31,1.02,3.84,4.19,3.46
438,Stanley Johnson,SAS,29,5,24,15.8,6563.2,1.24,0.67,0.58,4.35,4.81,3.94
439,Stephen Curry,GSW,37,19,18,34.9,13772.8,2.61,1.46,1.15,4.2,4.87,3.58
440,Sterling Brown,LAL,4,2,2,6.1,2630.8,0.5,0.26,0.24,4.45,4.38,4.54
441,Steven Adams,MEM,42,28,14,27.0,10210.8,1.93,1.01,0.92,4.02,4.19,3.85
442,Svi Mykhailiuk,CHA,13,8,5,3.1,1248.2,0.24,0.12,0.11,4.23,4.59,3.91
443,T.J. McConnell,IND,56,23,33,19.6,8610.6,1.63,0.87,0.77,4.62,5.04,4.24
444,T.J. Warren,PHX,27,17,10,18.4,7346.7,1.39,0.72,0.67,4.21,4.29,4.11
445,Taj Gibson,WAS,36,17,19,9.8,3773.4,0.71,0.38,0.34,4.03,4.13,3.92
446,Talen Horton-Tucker,UTA,45,23,22,16.2,6273.1,1.19,0.66,0.53,4.08,4.42,3.7
447,Tari Eason,HOU,57,13,44,19.4,7751.8,1.47,0.8,0.67,4.22,4.42,4.01
448,Taurean Prince,MIN,36,21,15,21.3,8275.3,1.57,0.82,0.75,4.09,4.36,3.83
449,Terance Mann,LAC,59,32,27,23.3,9403.9,1.78,0.94,0.84,4.27,4.41,4.12
450,Terence Davis,SAC,44,24,20,13.8,5754.1,1.09,0.56,0.53,4.41,4.78,4.05
451,Terrence Ross,ORL,42,16,26,22.5,8734.0,1.65,0.9,0.76,4.12,4.44,3.79
452,Terry Rozier,CHA,49,13,36,35.6,14469.6,2.74,1.51,1.23,4.34,4.78,3.89
453,Terry Taylor,IND,26,9,17,8.8,3654.5,0.69,0.37,0.32,4.38,4.83,3.95
454,Thaddeus Young,TOR,47,20,27,16.1,6291.6,1.19,0.64,0.55,4.14,4.33,3.94
455,Thanasis Antetokounmpo,MIL,24,16,8,4.1,1662.3,0.31,0.17,0.15,4.27,4.45,4.08
456,Theo Maledon,CHA,36,10,26,16.1,6760.9,1.28,0.7,0.58,4.4,4.83,3.97
457,Theo Pinson,DAL,31,15,16,6.8,2761.2,0.52,0.28,0.24,4.2,4.39,4.0
458,Thomas Bryant,DEN,43,23,20,20.8,7968.3,1.51,0.81,0.7,4.12,4.44,3.8
459,Tim Hardaway Jr.,DAL,54,31,23,30.2,11199.8,2.12,1.16,0.96,3.94,4.17,3.69
460,Tobias Harris,PHI,52,34,18,33.5,12606.0,2.39,1.27,1.12,4.0,4.15,3.84
461,Tony Bradley,CHI,10,4,6,2.9,1200.4,0.23,0.12,0.11,4.32,4.72,3.95
462,Torrey Craig,PHX,56,31,25,25.9,10809.4,2.05,1.09,0.96,4.44,4.66,4.21
463,Trae Young,ATL,51,27,24,35.5,13394.0,2.54,1.4,1.14,3.99,4.44,3.54
464,Tre Jones,SAS,51,14,37,29.3,12399.7,2.35,1.28,1.06,4.49,4.95,4.03
465,Tre Mann,OKC,50,24,26,18.6,7482.8,1.42,0.76,0.66,4.29,4.62,3.95
466,Trendon Watford,POR,42,21,21,16.2,6192.4,1.17,0.65,0.53,4.01,4.29,3.71
467,Trent Forrest,ATL,18,6,12,13.3,5284.4,1.0,0.52,0.48,4.18,4.34,4.02
468,Trevelin Queen,IND,7,2,5,10.0,4149.6,0.79,0.43,0.36,4.4,5.01,3.83
469,Trevor Hudgins,HOU,3,0,3,4.4,1612.3,0.31,0.17,0.13,3.74,4.24,3.26
470,Trevor Keels,NYK,1,1,0,0.9,369.0,0.07,0.04,0.03,5.98,0.0,0.0
471,Trey Lyles,SAC,51,29,22,15.9,6579.3,1.25,0.66,0.59,4.33,4.69,3.98
472,Trey Murphy III,NOP,55,27,28,29.5,11687.5,2.21,1.14,1.08,4.21,4.4,4.01
473,Troy Brown Jr.,LAL,52,23,29,24.3,9852.6,1.87,0.98,0.89,4.34,4.61,4.09
474,Ty Jerome,GSW,36,15,21,17.8,6886.6,1.3,0.74,0.57,4.07,4.58,3.55
475,TyTy Washington Jr.,HOU,22,3,19,12.4,4663.3,0.88,0.48,0.4,3.96,4.27,3.65
476,Tyler Dorsey,DAL,3,2,1,2.8,909.3,0.17,0.09,0.08,3.35,3.97,2.72
477,Tyler Herro,MIA,45,25,20,35.4,14247.1,2.7,1.48,1.21,4.28,4.63,3.91
478,Tyrese Haliburton,IND,47,23,24,33.4,13478.5,2.55,1.42,1.13,4.29,4.92,3.7
479,Tyrese Martin,ATL,13,8,5,3.5,1437.5,0.27,0.15,0.12,4.21,4.48,3.93
480,Tyrese Maxey,PHI,37,24,13,32.9,13353.3,2.53,1.39,1.14,4.32,4.65,3.97
481,Tyus Jones,MEM,56,34,22,23.3,9514.1,1.8,0.97,0.83,4.32,4.67,3.97
482,Udoka Azubuike,UTA,23,13,10,5.8,2131.8,0.4,0.21,0.19,3.84,3.88,3.8
483,Udonis Haslem,MIA,6,3,3,7.9,2847.8,0.54,0.29,0.25,3.79,3.91,3.66
484,Usman Garuba,HOU,50,12,38,13.6,5246.0,0.99,0.52,0.47,4.07,4.16,3.95
485,Vernon Carey Jr.,WAS,11,8,3,2.6,1029.6,0.2,0.11,0.08,4.0,4.1,3.87
486,Victor Oladipo,MIA,26,17,9,28.4,10671.2,2.02,1.1,0.92,3.96,4.23,3.67
487,Vince Williams Jr.,MEM,9,5,4,5.4,2304.1,0.44,0.23,0.21,4.44,4.41,4.49
488,Vit Krejci,ATL,20,10,10,5.8,2292.3,0.43,0.24,0.2,4.11,4.36,3.84
489,Vlatko Cancar,DEN,43,29,14,15.8,5980.8,1.13,0.62,0.51,3.99,4.25,3.73
490,Walker Kessler,UTA,56,27,29,21.1,8475.7,1.61,0.87,0.73,4.26,4.49,4.01
491,Wendell Carter Jr.,ORL,39,16,23,30.1,10912.0,2.07,1.09,0.97,3.86,4.13,3.59
492,Wendell Moore Jr.,MIN,24,13,11,5.8,2587.6,0.49,0.26,0.23,4.71,5.16,4.21
493,Wenyen Gabriel,LAL,45,21,24,15.6,6350.5,1.2,0.66,0.54,4.34,4.79,3.9
494,Wesley Matthews,MIL,38,28,10,15.5,6316.4,1.2,0.65,0.55,4.28,4.61,3.93
495,Will Barton,WAS,40,18,22,19.6,7587.6,1.44,0.79,0.65,4.09,4.39,3.78
496,Willy Hernangomez,NOP,28,16,12,12.7,5106.7,0.97,0.52,0.45,4.25,4.5,3.97
497,Xavier Tillman,MEM,37,23,14,14.8,6036.2,1.14,0.6,0.54,4.33,4.57,4.08
498,Yuta Watanabe,BKN,43,23,20,17.9,7182.8,1.36,0.72,0.64,4.26,4.53,3.99
499,Zach Collins,SAS,46,13,33,21.1,8115.5,1.54,0.83,0.71,4.05,4.42,3.69
500,Zach LaVine,CHI,52,24,28,36.0,13973.5,2.65,1.41,1.23,4.13,4.57,3.72
501,Zeke Nnaji,DEN,43,29,14,13.5,5272.2,1.0,0.53,0.47,4.1,4.24,3.95
502,Ziaire Williams,MEM,28,16,12,17.4,6947.0,1.32,0.65,0.66,4.21,4.37,4.06
503,Zion Williamson,NOP,29,17,12,33.0,13026.6,2.47,1.34,1.12,4.19,4.67,3.74
