,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Giannis Antetokounmpo,MIL,45,8.4,27.1,1.14,9.6,3.2,5.5,58.7,60.1,32.2,10.3,30.6,7.9,59.1,53.6
1,LeBron James,LAL,44,7.1,25.2,1.21,8.7,3.2,5.1,62.8,65.9,21.0,13.4,20.1,5.4,59.6,66.7
2,Shai Gilgeous-Alexander,OKC,51,5.8,21.3,1.25,7.3,2.4,4.2,56.7,60.0,23.8,8.4,21.8,4.4,60.1,73.2
3,Jaylen Brown,BOS,48,5.6,21.8,1.25,7.0,2.7,4.4,61.7,66.7,15.4,10.1,14.6,3.7,59.6,73.7
4,Anthony Edwards,MIN,59,5.1,20.8,1.04,5.3,1.9,3.5,53.4,57.9,18.9,18.6,18.3,6.6,48.5,33.0
5,De'Aaron Fox,SAC,51,5.3,22.9,1.13,6.0,2.3,4.0,57.6,59.8,18.8,11.4,17.6,5.9,54.4,52.4
6,Buddy Hield,IND,58,4.1,25.6,1.26,5.1,1.9,3.7,51.2,67.0,2.5,7.2,2.1,0.4,48.5,74.7
7,Ja Morant,MEM,47,5.4,19.4,1.16,6.2,2.3,3.9,60.8,64.4,17.4,15.4,15.8,4.7,55.7,56.6
8,Jayson Tatum,BOS,54,4.2,15.1,1.26,5.3,1.7,3.0,57.7,63.8,21.7,11.5,21.2,5.3,58.0,74.2
9,Jordan Poole,GSW,56,4.2,19.7,1.18,5.0,1.8,3.2,56.4,63.4,14.3,12.7,11.8,2.5,54.4,61.5
10,Bennedict Mathurin,IND,58,4.1,24.1,1.17,4.8,1.5,2.8,52.5,59.0,24.4,10.9,23.9,3.4,55.9,58.1
11,Zach LaVine,CHI,52,4.5,19.7,1.19,5.3,1.8,3.3,55.9,61.2,19.0,9.9,18.5,3.0,56.5,63.5
12,Trae Young,ATL,50,5.1,18.6,1.05,5.4,1.7,3.6,47.8,53.9,19.1,13.2,14.0,2.3,49.4,34.5
13,Gary Trent Jr.,TOR,50,4.2,24.7,1.19,5.0,1.7,3.6,47.5,56.6,13.2,2.8,11.8,1.4,52.4,63.0
14,Kyle Kuzma,WAS,51,4.4,19.5,1.09,4.7,1.9,3.3,56.5,62.1,10.8,15.3,10.8,2.7,49.5,42.8
15,Bojan Bogdanovic,DET,55,3.5,18.2,1.21,4.3,1.5,2.7,54.8,64.0,14.0,10.9,11.4,1.0,54.4,66.5
16,Pascal Siakam,TOR,48,4.0,16.3,1.21,4.9,1.7,2.7,61.1,64.9,23.7,13.4,22.2,4.6,59.8,65.3
17,Terry Rozier,CHA,49,4.3,19.2,1.11,4.8,1.9,3.6,51.7,58.2,11.0,9.0,10.0,3.8,50.0,49.1
18,Keldon Johnson,SAS,50,4.0,18.5,1.17,4.7,1.8,3.3,54.9,61.6,15.1,8.5,14.1,6.0,53.3,59.6
19,O.G. Anunoby,TOR,45,4.1,24.0,1.25,5.2,2.0,3.3,61.2,67.3,12.4,11.8,11.3,3.2,57.0,71.7
20,Donovan Mitchell,CLE,48,4.0,16.4,1.2,4.8,1.8,3.1,57.4,66.2,12.5,13.5,9.4,3.1,53.1,63.8
21,Lauri Markkanen,UTA,53,3.1,15.1,1.4,4.3,1.6,2.5,64.1,71.8,15.2,8.5,14.0,3.7,62.2,87.3
22,Mikal Bridges,PHX,56,3.4,21.0,1.2,4.1,1.4,2.8,52.3,60.6,13.1,7.9,13.6,2.6,52.9,64.3
23,Jerami Grant,POR,54,3.1,16.4,1.37,4.2,1.5,2.4,64.1,71.5,18.8,6.7,20.6,4.8,63.6,85.6
24,Trey Murphy III,NOP,54,2.9,27.0,1.45,4.1,1.6,2.5,63.0,73.3,9.7,5.2,9.1,2.6,62.3,90.8
25,Desmond Bane,MEM,34,5.5,28.1,1.19,6.6,2.3,4.7,49.7,61.0,10.6,8.5,9.6,3.7,48.9,62.5
26,Fred VanVleet,TOR,49,3.9,19.3,1.14,4.4,1.3,3.0,44.3,54.0,17.5,6.3,14.3,2.6,49.7,52.9
