,player
0,Jan Vesely
1,Chris Singleton
2,Alonzo Gee
3,Jannero Pargo
4,Tyler Zeller
5,Trevor Booker
6,CJ Miles
7,Donald Sloan
8,Luke Walton
9,Anderson Varejao
10,Dwyane Wade
11,Rajon Rondo
12,Paul Pierce
13,Chris Bosh
14,Kevin Garnett
15,Brandon Bass
16,Mario Chalmers
17,Ray Allen
18,Leandro Barbosa
19,Rashard Lewis
20,Courtney Lee
21,Shane Battier
22,Jason Terry
23,Jeff Green
24,Norris Cole
25,Jared Sullinger
26,Udonis Haslem
27,Mike Miller
28,LeBron James
29,Dwight Howard
30,Darren Collison
31,Shawn Marion
32,Elton Brand
33,Kobe Bryant
34,Brandan Wright
35,Metta World Peace
36,Rodrigue Beaubois
37,O.J. Mayo
38,Vince Carter
39,Jae Crowder
40,Steve Nash
41,Jordan Hill
42,Antawn Jamison
43,Eddy Curry
44,Steve Blake
45,Jodie Meeks
46,Dahntay Jones
47,Pau Gasol
48,Kyrie Irving
49,Tristan Thompson
50,Trevor Ariza
51,Dion Waiters
52,Emeka Okafor
53,Jordan Crawford
54,Earl Barron
55,Daniel Gibson
56,Bradley Beal
57,Martell Webster
58,AJ Price
59,Damian Lillard
60,Nicolas Batum
61,Al Jefferson
62,Paul Millsap
63,Marvin Williams
64,Randy Foye
65,Derrick Favors
66,Enes Freedom
67,Gordon Hayward
68,Bernard James
69,Jamaal Tinsley
70,DeMarre Carroll
71,Jeremy Evans
72,Kevin Murphy
73,Jarrett Jack
74,Jared Dudley
75,Carl Landry
76,Klay Thompson
77,Marcin Gortat
78,Goran Dragic
79,Robert Sacre
80,Chris Duhon
81,Jared Jeffries
82,Nolan Smith
83,Devin Ebanks
84,Meyers Leonard
85,Sasha Pavlovic
86,LaMarcus Aldridge
87,JJ Hickson
88,Wesley Matthews
89,Wilson Chandler
90,Lavoy Allen
91,Jordan Hamilton
92,Evan Turner
93,Nick Young
94,Kenneth Faried
95,JaVale McGee
96,Corey Brewer
97,Kosta Koufos
